id,hard_skills,soft_skills,competences_recommandees
18,c azure cicd,aisance relationnelle rigueur synthèse,selenium maîtrise dun ou de plusieurs langages de programmation c azure devops cicd pipeline jmeter loadrunner  connaissance de la méthodologie agile prerequis  ethique  sens de la discrétion et de la confidentialité missions  participer à la mise en place de la testing factory  accompagner fortement les équipes produits dans la mise en place de la stratégie dautomatisation de tests autour des méthodologies de tests bdd gherkin tdd et e2e avec ranorex  intégrer chaque produit pendant une courte période et réaliser des poc utilisables  former les testeurs automatisés pour une montée en compétence sur la méthodologie gherkin  sécuriser lintégration des tests automatisés tu ti tests fonctionnels tests de performance dans devops accompagner fortement les ingénieurs devops et sre dans la sécurisation des meps  être disponible pour les testeurs manuels pour un accompagnement dans la rédaction des cas de tests candidats à lautomatisation competences force de proposition aisance relationnelle rigueur capacité à travailler en mode projet esprit danalyse et de synthèse et réactivité
19,Non spécifié,responsabilité organisation communication écoute,organisation et gestion des tâches capacité à établir des relations interpersonnelles solides aptitude à travailler en équipe et à collaborer efficacement compétences en communication et capacité découte active esprit analytique et aptitude à synthétiser les informations engagement et implication dans le travail propension à proposer des idées novatrices et à contribuer au développement de léquipe
20,php laravel iot jquery bootstrap bases de données mysql,relationnel goût du challenge,php laravel expérience en gestion de projets informatiques maîtrisez les bibliothèques maîtrisez les systèmes de gestion des bases de données mysql
21,tcpip unix linux sécurité informatique virtualisation hyperv français qualité,qualités relationnelles,expérience en réseaux et télécom  très bonne maîtrise des réseaux tcpip maîtrise de la configuration des routeurs routage ip vlans 802 maîtrise des environnements windows server maîtrise dunix et gnulinux maîtrise de sécurité informatique maîtrise de la virtualisation vsphere xen hyperv
22,python sage tensorflow pytorch,innovation,maîtrisez les langages de programmation python et les frameworks dapprentissage automatique tensorflow pytorch etc analyse
23,sap big data word powerpoint access,communication,knowledge and experience with communication agile delivery methodology and toolset jira confluence etc ability to work with big data sets willing to learn new technologies and tools communication and negotiation skills ability to ask well thought out questions skills really listening experience in a virtual setting strong computer proficiency with microsoft office tools e agile jira confluence
24,php laravel iot jquery bootstrap bases de données mysql,relationnel goût du challenge,expérience en développement php avec framework laravel et vue js expérience en gestion de projets informatiques maîtrisez les bibliothèques maîtrisez les systèmes de gestion des bases de données mysql
25,ecommerce français,esprit déquipe écoute empathie,connaissances du monde de linternet site internet ecommerce référencement réseaux sociaux écoute et dempathie maîtrise orale et écrite du français est indispensable
26,notion php qualité français seo,capacité danalyse synthèse autonomie rigueur écoute,culture générale du web php connaissance de la structure des sites internet analyse et de synthèse autonomie et rigueur écoute et capacité à travailler en équipe
27,Non spécifié,Non spécifié,Non spécifié
28,css3 java jquery bootstrap php access français,polyvalence capacité danalyse,polyvalence est votre force java maîtrisez les grids et bootstrap et savez rendre vos sites responsifs comprendre un code php et le modifier présenter des travaux analyse vous permettront dêtre autonome dans un processus collectif et davoir conscience de la satisfaction client
29,php wordpress html5 css3 jquery bootstrap figma notion planification français,organisation,maîtrisez du php wordpress html5 css3 et du jquery connaissances des outils graphiques  figma photoshop  illustrator   connaissances requises analyse dorganisation et de planification maîtrise du français à lécrit et à loral est indispensable
30,css3 java jquery bootstrap php access français,polyvalence capacité danalyse,polyvalence est votre force java maîtrisez les grids et bootstrap et savez rendre vos sites responsifs comprendre un code php et le modifier présenter des travaux analyse vous permettront dêtre autonome dans un processus collectif et davoir conscience de la satisfaction client
31,français,Non spécifié,Non spécifié
32,virtualisation vmware vpn firewall tcpip udp linux français,travail en équipe communication relationnel rigueur,compétences et qualifications communication  excellent sens relationnel et bonne capacité délocution pour discuter avec nos partenaires techniques et clients rigueur persistance et professionnalisme au travail maîtrise du français écritoral
33,cicd qualité reporting java docker jenkins bitbucket python c,Non spécifié,analyse des besoins pour lautomatisation des tests et leur modélisation jira cicd force de proposition  processus outillage développer la mise en place du bdd dans les équipes pour améliorer la qualité de code faire des reporting avec les dashboard standardisés prérequis java cucumber docker jenkins python c confluence jira
34,français,Non spécifié,Non spécifié
35,Non spécifié,leadership,experience in it management experience in project management is desirable a certification is a plus knowledge of it infrastructure storage application servers web servers sql server network routing switching and security applications leadership skills and possessing autonomous management skills are highly desirable
36,java php python cloud iot sage,écoute polyvalence curiosité,java php python écoute et surtout du partage la passion et la polyvalence vous anime au quotidien et vous avez envie de rejoindre une belle aventure humaine curiosité
37,français java,communication écoute travail en équipe rigueur organisation autonomie,communication à loral java écoute des utilisateurs et proposer des solutions à leurs besoins rigueur organisation et autonomie sont des atouts majeurs pour mener à bien votre mission
38,swift c react tensorflow pytorch opencv http,Non spécifié,maîtrise des technologies de ios native swift c maîtrise des architectures mvc mvp mvvm  une bonne connaissance des plateformes react connaissance de lai on mobile tensorflow lite pytorch opencv computer vision voice recognition
39,oracle qualité gestion des risques java,rigueur communication,maîtrise doracle apex plsql sgbd oracle  capacité de rédaction de spécifications techniques  rigueur dans les tests  rigueurqualité du code  bonne communication  des connaissances du métier bancaire ou de gestion des risques seraient un atout connaissances java seraient appréciées  une expérience dans le développement spécifique est nécessaire sur les outils cités apexplsql
40,java java spring boot hibernate angular bootstrap,Non spécifié,java maîtrise du langage de programmation connaissance des langages javaj2ee spring web services bonne connaissance des outils spring boot hibernate angular connaissance des architectures web et restful
41,Non spécifié,Non spécifié,Non spécifié
42,c angular foundation,Non spécifié,compétences techniques requises c angular
43,Non spécifié,communication,communication skills in english and french written and verbal skills especially when dealing with new or complex issues skills w customer service soft skills background strong verbalwritten language skills w french and english we will provide full technical product training but would love to have a background in troubleshooting hardware if possible
44,azure etl anglais,Non spécifié,expertise en devops azure et azure data services ex connaissance de etl pipeline design
45,php reporting crm jquery java bases de données mysql java wordpress,Non spécifié,compétences environnement techniques php java mysql java
46,Non spécifié,esprit déquipe esprit danalyse autonomie,analyse  autonomie déplacements à prévoir
47,swift swift,Non spécifié,expérience en développement mobile stage compris maîtrisez ios swift objectivec swift
48,bases de données,relationnel,compétences en matière de débogage et de dépannage 2 ans dexpérience avec xamarin native android et ios pas xamarin forms avoir une expérience avec mvvmcross est également un atout
49,Non spécifié,Non spécifié,Non spécifié
50,Non spécifié,Non spécifié,Non spécifié
51,react java qualité,capacité danalyse organisation autonomie,react agile java analyse et de visualisation de données avec loptimisation du flux de travail organisation et votre autonomie vous permettront de mener à bien vos missions
52,java angular angular spring boot hibernate jenkins ansible kafka,Non spécifié,expérience en développement fullstack java angular technologies java angular spring boot hibernate jenkins ansible
53,unix ordonnancement bases de données oracle ftp,Non spécifié,compétences techniques oracle
54,angular azure oracle hibernate,Non spécifié,angular oracle hibernate
55,bases de données oracle mysql unix,Non spécifié,compétences techniques compétences en systèmes et réseaux maîtrise des bases de données oracle mysql sybase sql server et des outils spécialisés dans ladministration de ces bases maîtrise du langage de requête sql maîtrise des risques liés à la sécurité
56,java laravel php bootstrap sass php nosql docker jenkins unix,Non spécifié,java laravel php php docker jenkins skills  bachelors degree in software development computer engineering bac 5 experience in web development ability to adapt and integrate ability to analyze design and make proposals
57,Non spécifié,Non spécifié,connaissances de base de las400 est souhaitable
58,sap,Non spécifié,Non spécifié
59,qualité,autonomie,comprendre et appliquer de manière cohérente le processus de développement des applications actuelles connaissances sur les nouvelles technologies et leur application possible dans lentreprise comprendre les aspects fonctionnels et techniques  construire une équipe autoorganisée maintenir sa cohésion et lamener à lautonomie expertise quant à lintégration dapplications dans lécosystème de lentreprise
60,qualité anglais cicd,communication rigueur,communication et en documentation incluant une très bonne maîtrise de langlais  gestion de projet  bonnes connaissances systèmes réseaux et sécurité vous êtes animée dun véritable esprit de service vous aimez les contacts et la satisfaction de vos clients rigueur ainsi que votre sens de la communication seront des facteurs clés de votre réussite compétences en automatisation et cicd seraient un plus
61,français,communication,communication en français
62,français,Non spécifié,Non spécifié
63,html5 css3 wordpress java jquery seo gitlab bootstrap,Non spécifié,compétences  environnement techniques connaissance de wordpress codex développement wordpress java gitlab
64,Non spécifié,Non spécifié,collaborer efficacement et de travailler en équipe
65,français,communication,communication en français
66,français,Non spécifié,Non spécifié
67,html5 css3 wordpress java jquery seo gitlab bootstrap,Non spécifié,compétences  environnement techniques connaissance de wordpress codex développement wordpress java gitlab
68,Non spécifié,Non spécifié,collaborer efficacement et de travailler en équipe
69,autocad  dialux  génie électrique  revitqualité,organisation communication travail collaboratif,maîtrise des normes électriques nf c 15100 rt2012re2020 etc organisation esprit déquipe et excellentes capacités de communication
70,acheminement  dédouanement  export  gestion du transport  import  transit  transport  transport international,aisance relationnelle organisation écoute synthèse responsabilité autonomie,aisance relationnelle dynamisme esprit organisationnel capacité découte réactivité analyse et synthèse
71,analyse financière  comptabilité  écritures comptables  états financiers  finance  fiscalité  gestion  gestion financière  trésoreriesage comptabilité gestion de trésorerie,écoute organisation communication,maîtrise du logiciel sage 1000 modules comptabilité et immobilisations maîtrise des écritures comptables des arrêtés de comptes et des états financiers analyse sens de lécoute et de lorganisation communication orale et écrite
72,btp  commercialisation  développement commercial  négociation  négociation commerciale  stratégie commerciale  suivi commercial  ventearabe français anglais négociation commerciale,négociation aisance relationnelle prise de décision,connaissancescompétences techniques  connaissance du marché de leau et de lenvironnement maitrise du processus de prescription et de suivi commercial dune affaire btp savoirfaire techniques de négociation commerciale facilité dadaptation aux différentes cultures aisance relationnelle capacité danalyse et de prise de décision capacité danalyse stratégique dun marché
73,analyse financière  assistance juridique  audit  audit comptable  comptabilité  comptabilité analytique  déclaration fiscale  déclaration sociale  états financiers  finance  fiscalité  gestionanalyse financière audit,esprit critique communication communication,maîtrise technique  une parfaite connaissance des normes comptables juridiques et fiscales marocaines ainsi quune capacité à les appliquer de manière rigoureuse capacité à gérer efficacement un portefeuille clients avec précision et ponctualité analyse financière fiscale audit et de conseil avec un esprit critique et une attention aux détails communication  excellentes compétences de communication tant à loral quà lécrit permettant de transmettre clairement les informations aux clients et aux équipes internes
74,Non spécifié,innovation initiative communication leadership,communication leadership and the ability to work with others
75,autocad  coffrageautocad français,Non spécifié,maîtrise de langue française écrit et oral
76,finance  gestion,Non spécifié,Non spécifié
77,techniques de vente  ventefrançais anglais word powerpoint,communication écoute,compétences en communication français et anglais et en présentation capacité à travailler de manière autonome et à gérer son emploi du temps écoute et aptitude à comprendre les besoins des clients connaissance des techniques de vente maîtrise des outils bureautiques word excel powerpoint permis de conduire
78,btp  chantier du btp  communication  construction  développement commercial  gestion des ventes  management de la négociation  négociation  prospection  prospection commerciale  recouvrement  relation clients  vente,communication négociation,compétences en communication et en négociation capacité à travailler de manière autonome tout en étant un membre actif dune équipe
79,actions commerciales  communication  marketing  mobilité  négociation  organisation de réunions  prospection  prospection commercialefrançais anglais arabe,négociation relationnel organisation négociation communication communication,expertise en prospection commerciale et négociation de contrats compétences relationnelles et organisationnelles exceptionnelles compétences en prospection  capacité à identifier et à atteindre de nouveaux clients dans les secteurs public et privé communication  excellente capacité de communication en français et des connaissances en anglais ou en arabe sont un atout capacité à collaborer avec dautres départements pour atteindre les objectifs de lentreprise
80,devis  vente,Non spécifié,Non spécifié
81,api  docker  java  mongodb  mysql  node js  nosql  oauth  postgresql  python  restpython java graphql bases de données postgresql mysql nosql mongodb cloud aws docker kubernetes,relationnel innovation collaboration,compétences techniques  solide maîtrise dun ou plusieurs langages backend node python java api rest expertise avec les bases de données relationnelles postgresql mysql et nosql mongodb connaissance des bonnes pratiques de sécurité applicative chiffrement validation des entrées postman compétences spécifiques au domaine  expérience ou intérêt pour des projets liés à la sécurité routière la gestion des utilisateurs ou les systèmes de réservation connaissances en intégration avec des systèmes existants interopérabilité via api maîtrise des conteneurs docker kubernetes culture axée sur linnovation et la collaboration
82,devis  maintenance  réparation,Non spécifié,Non spécifié
83,assurance qualité  bpf  fabrication  gmp  maintenance  management de la qualité  procédés  production  qualitéqualité,autonomie rigueur organisation communication,compétences  bonne maîtrise des prérequis gmp expérience en production et en management de la qualité autonomie rigueur et capacité dorganisation et de communication
84,accueil  gestion de la clientèle  prospection  tourisme  venteallemand anglais,Non spécifié,maîtrises couramment lallemand et langlais tu possèdes une solide formation en tourisme et une expérience pratique dau moins 3 ans dans la vente sur le marché allemand tu as une excellente connaissance des itinéraires de voyage au maroc tu prends plaisir à rédiger des descriptions de voyages et des textes de catalogue aussi bien en ligne quhors ligne avec une grande attention aux détails tu es flexible résilient ouvert desprit et honnête les voyages durables te tiennent à cur organisée et méthodique tu aimes travailler de manière structurée et tu es rapidement autonome confiante et orientée vers le service tu conseilles les clients avec professionnalisme et le sourire tu maîtrises parfaitement les outils informatiques internet et les logiciels ms office créatifve inventifve et curieuxse tu es ouverte à la nouveauté
85,suivi commercial  vente,esprit entrepreneurial volonté aisance relationnelle écoute esprit entrepreneurial autonomie organisation communication,aisance relationnelle et de vraies capacités managériales écoute des clients autonomie réactivité organisation communication clair est précise sens de service avantages et perspectives liés à cette fonction  rma vous accompagne et met à votre disposition les moyens et outils nécessaires au développement des performances de votre agence
86,suivi commercial  vente,esprit entrepreneurial volonté aisance relationnelle écoute esprit entrepreneurial autonomie organisation communication,aisance relationnelle et de vraies capacités managériales écoute des clients autonomie réactivité organisation communication clair est précise sens de service avantages et perspectives liés à cette fonction  rma vous accompagne et met à votre disposition les moyens et outils nécessaires au développement des performances de votre agence
87,suivi commercial  vente,esprit entrepreneurial volonté aisance relationnelle écoute esprit entrepreneurial autonomie organisation communication,aisance relationnelle et de vraies capacités managériales écoute des clients autonomie réactivité organisation communication clair est précise sens de service avantages et perspectives liés à cette fonction  rma vous accompagne et met à votre disposition les moyens et outils nécessaires au développement des performances de votre agence
88,suivi commercial  vente,esprit entrepreneurial volonté aisance relationnelle écoute esprit entrepreneurial autonomie organisation communication,aisance relationnelle et de vraies capacités managériales écoute des clients autonomie réactivité organisation communication clair est précise sens de service avantages et perspectives liés à cette fonction  rma vous accompagne et met à votre disposition les moyens et outils nécessaires au développement des performances de votre agence
89,tourisme,Non spécifié,Non spécifié
90,assistanat  assistance  communication interne  dossiers  formation  gestion administrative  gestion des ressources humaines  organisation de réunions  processus de recrutement  recrutement  secrétariat  supportanglais planification,autonomie organisation relationnel organisation communication gestion du stress proactivité initiative,autonomie et un sens aigu de lorganisation grâce à vos expériences précédentes maîtrise de langlais est indispensable capacité à gérer les priorités sont des atouts importants compétences clés que nous recherchons  gestion administrative organisation et planification  communication et relationnel  maîtrise des outils bureautiques  confidentialité et discrétion  gestion du stress  proactivité et esprit dinitiative
91,actions commerciales  communication  développement commercial  marketing  négociation  négociation client  prospection  prospection commerciale  recouvrement  recouvrement des clients  techniques de vente  venteword powerpoint anglais,relationnel,maîtrisez les techniques de vente et avez un excellent sens du relationnel maîtrise des outils bureautiques excel word powerpoint maîtrise de langlais est un plus
92,amélioration continue  fabrication  gestion de la qualité  hygiène  maintenance  process  processus  production  qualitéqualité français anglais,autonomie rigueur esprit déquipe communication créativité innovation,compétences attendues très bonnes connaissances des technologies laitière et fromagère  produitprocess  connaissance des outils de gestion de la qualité et damélioration continue compétences avérées en management de proximité autonomie dans la gestion des tâches rigueur et forte capacité à travailler en esprit déquipe capacité de prioriser les sujets et de délivrer otif on time in full connaissance des bonnes pratiques qualité hygiène sécurité et environnement aisance avec les outils ms office bonne communication et maitrise des langues  français et anglais pourquoi rejoindre jibal  un environnement innovant  vous évoluerez au sein dune entreprise qui valorise la créativité et linnovation des opportunités de développement  nous encourageons la montée en compétence et la mobilité interne pour faire évaluer votre carrière un cadre de travail basé sur des valeurs fortes  nous valorisons lesprit de famille encourageons lagilité et agissons avec modestie si ce défi vous intéresse et que vous souhaitez rejoindre une équipe dynamique envoyer votre cv et lettre de motivation en cliquant sur le bouton  postuler
93,formation  hôtellerie  tourisme,flexibilité communication,connaissances des règles dhygiène flexibilité pour assurer des tours de service différents connaissances mathématiques de base capacité à évaluer les préférences des clients excellentes compétences de communication
94,comptabilité  gestion  recouvrementassurance français,Non spécifié,maîtrise de loutil informatique ayant une expérience dau moins un an en recouvrement dans le secteur bancaire assurance crédit
95,comptabilité  dossiers administratifs  gestion  recouvrementfrançais,Non spécifié,maîtrise du français bonne présentation
96,comptabilité  gestion  recouvrementfrançais,Non spécifié,maîtrise du français
97,stratégie commercialefrançais anglais word powerpoint,leadership organisation communication adaptabilité,maîtrise parfaite du français et de langlais leadership capacité à travailler en équipe gestion de projet et sens de lorganisation compétences en communication adaptabilité orientation résultats et passion pour lenseignement maîtrise des outils bureautiques word excel powerpoint
98,communication  formation  gestion  leadership  management  marketing  merchandising  service clients  venteanglais français espagnol qualité,leadership qualités relationnelles,culture générale sur de nombreux sujets afin dêtre en mesure de conseiller et de renseigner les clients vous avez une bonne fibre commerciale vous êtes curieux et aimez le contact humain vous êtes accueillant avenant et attentif aux attentes des clients vous êtes très disponible et vous faites preuve dendurance physique vous êtes organisé et rigoureux vous êtes reconnu pour votre leadership et vos qualités relationnelles vous maitrisez les outils multimédias
99,archivage  assistanat  dossiers  fiches  gestion des dossiers  secrétariat,Non spécifié,Non spécifié
100,assistanat  secrétariat,Non spécifié,Non spécifié
101,comptabilité  dossiers administratifs  gestion  recouvrement  ventefrançais,Non spécifié,maîtrise du français bonne présentation
102,tourisme,écoute,écoute  pédagogue  être en bonne condition physique et savoir animer
103,animation  sécurité,relationnel communication,compétences relationnelles et communicationnelles
104,suivi commercial  venteecommerce français,Non spécifié,maîtrise du français ambitieux motivé et avoir lesprit de challenge motorisée
105,négociation  prospection  vente,négociation écoute,compétences techniques  bonne compréhension des produits ou solutions techniques équipements électriques variateurs moteurs solutions électroniques capacité à dialoguer avec des interlocuteurs techniques directeurs techniques ingénieurs compétences commerciales  expertise en négociation et capacité à gérer des ventes complexes
106,hôtellerie  restauration  tourisme,Non spécifié,Non spécifié
107,comptabilité  écritures comptables  finance  gestion  opérations bancairestableau anglais,écoute synthèse,compétences métier  excellentes capacités découte dencadrement et de partage des exigences administratives capacité à adapter son discours à son interlocuteur maîtrise des règles comptables et fiscales marocaines maîtrise des outils informatiques maîtrise de langlais est indispensable
108,du  maintenance  production  qualitésage qualité,Non spécifié,Non spécifié
109,comptabilité  finance  gestionword powerpoint notion,communication,maîtriser les outils bureautique excel word ou powerpoint  avoir des notions sur les systèmes de bi business inelligence tels qu essbase ou tm1  avoir de bonnes bases comptables communication
110,comptabilité  finance  gestion  processus de gestion  suivi budgétairecontrôle de gestion comptabilité contrôle de gestion,synthèse relationnel,expérience en contrôle de gestion 3 ans minimum maîtrise des outils de gestion excel erp etc analyse et de synthèse force de proposition bon relationnel et esprit déquipe
111,recouvrement  ventecomptabilité,aisance relationnelle initiative,aisance relationnelle avec un goût prononcé pour les challenges bonne résistance à la pression et au stress avoir lesprit dinitiative bonne capacité dadaptation habileté à créer du lien avec les clients
112,cuisine  cuisine gastronomique  cuisine internationale  dressage  secteur hôtelier  tourismesage qualité,organisation rigueur organisation gestion des priorités créativité,compétences exigées  maîtrise des techniques de préparation et dressage des plats froids connaissance des produits frais et de leur conservation capacité à travailler en équipe et à communiquer efficacement avec les autres sections de la cuisine organisation et capacité à travailler sous pression rigueur et attention au détail organisation et gestion des priorités capacité à sadapter aux cadences élevées de travail
113,secteur hôtelier  tourismequalité,orientation client rigueur écoute,expérience en tant que hammamiste idéalement dans un cadre hôtelier ou spa compétences exigées  maîtrise des techniques traditionnelles du hammam gommage application de savon noir etc connaissance des produits de soin et de bienêtre capacité à travailler en équipe dans un environnement exigeant rigueur et professionnalisme
114,prospection  ventefrançais qualité,adaptabilité,compétences  bac2 en commerce ou en gestion capacité à transmettre des informations de manière claire et efficace
115,administration du personnel  administration rh  cotisations sociales  embauche  formation  traitement de la paie,Non spécifié,Non spécifié
116,formationqualité transport,communication adaptabilité,compétences requises  diplôme  bac5 en ressources humaines ou équivalent maîtrise des outils bureautiques et gestion de projet communication claire et efficace
117,formation  recrutement  suivi administratifqualité,communication aisance relationnelle organisation,compétences requises  diplôme en ressources humaines ou en gestion maîtrise des outils bureautiques et des méthodes de gestion de projet communication claire et efficace organisation et réactivité
118,venteassurance,relationnel,connaissances dans les sinistres est un atout maîtrise des outils informatiques excel erp etc
119,communication  marketing,relationnel,capacité à collaborer en équipe persuasif et convaincant poste basé à dar bouazza avec des déplacements récurent au niveau national
120,électromécanique  gestion de la maintenance  maintenance  maintenance préventive  ordonnancement  production  qualité,organisation rigueur capacité danalyse,maîtrise de la conduite des travaux de maintenance maîtrise de la conduite des travaux des projets techniques expérience en gestion déquipe sens de lorganisation et de la rigueur grande capacité danalyse
121,communication  marketing  positionnement  sponsoring  supports marketingecommerce français anglais,communication créativité,communication ou commerce compétences  maitrise des outils marketing et des plateformes digitales communication écrite et orale résoudre des problèmes capacité à travailler sous pression et à respecter les délais maîtrise du français à loral et à lécrit langlais est un atout
122,communication  conseil  marketing  techniques de vente  ventefrançais,communication,maîtrise de la langue française connaissances des outils informatiques vous jouissez dune aisance en communication vous êtes disponible dynamique organisée et rigoureuse
123,prospection  suivi des clients  ventefrançais,Non spécifié,Non spécifié
124,français,Non spécifié,Non spécifié
125,comptabilité  comptabilité générale  états financiers  finance  gestion  gestion des immobilisations  gestion financière  trésoreriecomptabilité sage sap français tableau qualité,rigueur organisation proactivité communication,compétences techniques  maîtrise des logiciels comptables ex  sage cegid sap etc connaissance des normes comptables françaises et fiscales rigueur sens de lorganisation et respect des délais proactivité et capacité à résoudre les problèmes compétences en communication écrite et orale
126,automatisme  automatisme industriel  électromécanique  électronique  gestion de la maintenance  hygiène  machines  maintenance  maintenance corrective  maintenance préventive  production  qualiténotion,responsabilité curiosité,compétences techniques et aptitudes comportementales liées à la fonction  1 compétences techniques  forte connaissance de le gmao connaissance en automatisme industriel notions sur lélectricité et lélectronique connaissance des schémas électrique connaissance en électricité industriel connaissances des règles de sécurité incendie relatives au domaine électrique compétences comportementales etou managériales  mobilité et disponibilité sens de responsabilité sens danalyse et diagnostic esprit déquipe et autonome curiosité
127,parc auto  production  qualité,Non spécifié,maîtriser les systèmes électroniques embarqués et outils de diagnostic ordinateur de bord abs
128,distribution  emballage  entrepôt  fluide  maintenance  management  processus  production  qualité  transport,relationnel,Non spécifié
129,sécurité routière  transport,Non spécifié,expérience en conduite  lieu de travail casablanca
130,achats  administration  approvisionnements  assistanat  dossiers  dossiers administratifs  gestion des achats  powerpoint  rédaction  secrétariat  suivi des dossiers  suivi des stocks  wordword powerpoint qualité arabe anglais français,organisation gestion des priorités rigueur autonomie initiative qualités relationnelles travail en équipe,compétences  excellente organisation et gestion des priorités maîtrise des outils bureautiques word excel powerpoint etc compétences en gestion des achats rigueur discrétion et sens de la confidentialité autonomie et esprit dinitiative
131,suivi commercial  vente,esprit entrepreneurial volonté aisance relationnelle écoute esprit entrepreneurial autonomie organisation communication,aisance relationnelle et de vraies capacités managériales écoute des clients autonomie réactivité organisation communication clair est précise sens de service avantages et perspectives liés à cette fonction  rma vous accompagne et met à votre disposition les moyens et outils nécessaires au développement des performances de votre agence
132,suivi commercial  vente,esprit entrepreneurial volonté aisance relationnelle écoute esprit entrepreneurial autonomie organisation communication,aisance relationnelle et de vraies capacités managériales écoute des clients autonomie réactivité organisation communication clair est précise sens de service avantages et perspectives liés à cette fonction  rma vous accompagne et met à votre disposition les moyens et outils nécessaires au développement des performances de votre agence
133,suivi commercial  vente,esprit entrepreneurial volonté aisance relationnelle écoute esprit entrepreneurial autonomie organisation communication,aisance relationnelle et de vraies capacités managériales écoute des clients autonomie réactivité organisation communication clair est précise sens de service avantages et perspectives liés à cette fonction  rma vous accompagne et met à votre disposition les moyens et outils nécessaires au développement des performances de votre agence
