titre,hard_skills
conseillère showroom  marrakech,communication  conseil  marketing  techniques de vente  ventefrançais
chargée de mission commerciale  casablanca,prospection  suivi des clients  ventefrançais
chargée détudes de marché  casablanca,français
comptable interne expérimentée  alfassi,comptabilité  comptabilité générale  états financiers  finance  gestion  gestion des immobilisations  gestion financière  trésoreriecomptabilité sage sap français tableau qualité
technicien maintenance transport non assuré  bouskoura,automatisme  automatisme industriel  électromécanique  électronique  gestion de la maintenance  hygiène  machines  maintenance  maintenance corrective  maintenance préventive  production  qualiténotion
technicien parc auto  rabat,parc auto  production  qualité
responsable entrepôt hf  casablanca,distribution  emballage  entrepôt  fluide  maintenance  management  processus  production  qualité  transport
chauffeur  casablanca,sécurité routière  transport
assistante de direction chargée des achats  tanger,achats  administration  approvisionnements  assistanat  dossiers  dossiers administratifs  gestion des achats  powerpoint  rédaction  secrétariat  suivi des dossiers  suivi des stocks  wordword powerpoint qualité arabe anglais français
agent général  casablanca et région,suivi commercial  vente
agent général  fès et région,suivi commercial  vente
agent général  rabat et région,suivi commercial  vente
agent général  agadir et région,suivi commercial  vente
agent général  tanger et région,suivi commercial  vente
gouvernante  casablanca,hôtellerie  restauration  tourismefrançais
chef barman,tourisme
maître dhôtel,animation  cuisine  tourismefrançais anglais
thérapeute  casablanca,santé  tourisme
assistant chef barman,tourisme
chef de rang  casablanca,cuisine  restauration  secteur hôtelier  tourisme
flutter mobile developer with fullstack capabilities  rabat,android  css  design  docker  foundation  git  ideal  linux  postgresql  python  tourismetailwind css docker linux python postgresql github
consultant fonctionnel odoo  rabat,tourisme
gestionnaire administratif  casablanca,achats  ventearabe français anglais sap
serveur  casablanca et région,accueil  cuisine  hôtellerie  tourisme
comptable junior  mohammedia,finance  gestionsage anglais
assistante commerciale  casablanca,gestion des ventes
infirmier polyvalent  khouribga,anatomie  éducation  hygiène  pharmacologie  physiologie  santé  soins infirmiersanatomie soins infirmiers pharmacologie
agent de proximité rh hf  meknès,formation  gestion administrativequalité word powerpoint
business analyst  product owner senior  rabat,agile  aris  confluence  jira  ms project  scrum  uml  visiokanban ms project français anglais
chargée de recrutement hf  casablanca,formation  recrutement
stagiaires en recrutement it et sourcing  casablanca,conseil  consulting  formation  recrutementword sem
responsable commercial terrain  marrakechtanger,mailing  négociation  pack office  prospection  prospection téléphonique  relation clients  vente  vente directefrançais
assistant contrôle de gestion  casablanca et région,comptabilité  finance  gestioncontrôle de gestion word powerpoint qualité
chargé de production et de planification  tanger,gestion de la production  maintenance  processus  production  qualitélogistique planification français anglais
designer graphique  casablanca,blender  illustrator  indesign  microsoft  photoshopword powerpoint
professeur particulier privé  dar bouazza,Non spécifié
développeur service now junior  casablanca,docubase  itsm  servicenow
technicien utilities  berrechid,fabrication  hvac  machines  maintenance  maintenance préventive  processus  production  qualité  robotiquerobotique
responsable laboratoire contrôle hf  dar bouazza,amélioration continue  chimie  laboratoire  maintenance  processus  qualitéqualité
ingénieur détudes en génie civil  rabat,btp  dimensionnementgénie civil
responsable maintenance  casablanca,btp  construction  électromécanique  équipement  hydraulique  hydraulique pneumatique  maintenance  plomberie  pneumatique  production  qualité  secteur btp
administrateur des ventes  casablanca,crm  facturation  gestion des ventes  négociation  ventecrm
superviseur qhse  casablanca,btp  hygiène  maintenance  production  qhse  qualitéqualité
production supervisor  docteur en pharmacie  berrechid,maintenance  manufacturing  processing  production  qualité
commis de cuisine hf  rabat,assemblage  cuisine  hygiène  production  qualité  réception  restauration  sécurité  sécurité alimentaire  tourisme
livreur  rabat,livraison  sécurité  sécurité routière  tourisme
wok man  rabat,cuisine  hygiène  maintenance  normes de qualité  production  qualité  restauration  sécurité  sécurité alimentaire  tourisme
sushi man  rabat,cuisine  hygiène  maintenance  production  qualité  sécurité  sécurité alimentaire  tourismesem qualité
chargé réclamations et sav  casablanca,crm  gestion des réclamations  gestion des ventescrm
enseignant chercheur permanent en informatique  casablanca,enseignement
responsable laboratoire contrôle hf  dar bouazza,amélioration continue  chimie  contrôle de qualité  laboratoire  maintenance  processus  qualitéqualité
chargé dappui commercial hf  casablanca,ventequalité reporting qualité anglais
chargé de portefeuille hf  laayoune,recouvrement  ventecomptabilité
magasinier expérimenté centre sportif  casablanca,groupage  transporttransport
assistante administrative  bouskoura,assistanat  secrétariatfrançais transport
superviseur sécurité  bouskoura,accueil  sécurité  surveillance  transport
stagiaire pfe  amoa applications it et processus  rabat et casablanca,assistance  formation  rédactionanglais arabe français
data scientist fm  rabat et casablanca,apache  azure  big data  exploration  maintenance  monitoring  processing  production  python  qualité  spark  tensorflowmachine learning python tensorflow pytorch scikitlearn big data spark cloud sage azure nlp deep learning
représentant commercial et pédagogique  secteur de léducation  laâyoune,enseignement  pédagogie  techniques de vente  ventefrançais anglais word powerpoint
hôtesses daccueil francophone  casablanca,accueil physique  assistanat  secrétariatfrançais
conducteur des travaux en installation electrique et eclairage public  casablanca,autocad  btp  conseil  construction  installation  livraisonqualité
technicienne réseau  casablanca,dépannage  sécurité  tourisme  vpn  wansupervision anglais
technicienne réseau  marrakech,dépannage  sécurité  tourisme  vpn  wansupervision anglais
représentant commercial et pédagogique  secteur de léducation  béni mellal  khénifra,techniques de vente  ventefrançais anglais word powerpoint
femme de chambre  marrakech,tourisme
animatrices kids club  marrakech,tourisme
commis de rang  marrakech,conseil  cuisine  dressage  hôtellerie  nettoyage  restauration  secteur hôtelier  tourismefrançais audit qualité
surveillant internat  casablanca,accueil  formation  surveillance  transporttransport
magasinier btp  casablanca,maintenance  manutention  production  qualité
magasinière  nouaceur,comptabilité  finance  gestion  gestion des stocks  stocks  transportlogistique gestion des stocks
commercial terrain  tanger,négociation  prospection  venteespagnol
cariste  mohammedia  chellalate,transportlogistique transport
technicien spécialisé en réseaux et systèmes informatiques  casablanca,Non spécifié
archiviste documentaliste  casablanca,btp  comptabilité  finance  gestionsem français anglais bases de données
poseurs cuisines  bouskoura,agencement  maintenance  menuiserie  menuiserie bois  qualité
cadre hse  casablanca,assurance qualité  hygiène  maintenance  qualité
responsable commercial terrain  secteur de léducation  agadir laâyoune,techniques de vente  ventefrançais anglais word powerpoint
moroccan hammam attendant  nouakchott,santé
lady and man masseur spa  nouakchott,sage
assistante directeur administratif et financier  casablanca,assistanat  gestion du courrier  secrétariat
human resources manager  nouakchott,tourisme
assistante administration des ventes  berrechid,facturation  gestion des commandes  gestion des ventes  venteword qualité
chargée marketing  berrechid,communication  marketing  newslettersqualité
responsable administratif et financier  casablanca,banque  comptabilité  comptabilité analytique  comptabilité générale  finance  fiscalité  gestion  gestion budgétaire  trésorerie
réceptionniste  casablanca,assistanat  secrétariatfrançais anglais comptabilité
coach fitness,tourisme
conseiller commercial  immobilier  sala al jadida,gestion commerciale  stratégie commerciale  suivi commercial  ventefrançais arabe
chef de rayon spécialisés  dar bouazza,gestion commerciale  gestion déquipe  vente
comptable sénior avec expérience en cabinet  disponibilité immédiate  casablanca,audit  comptabilité  consolidation  finance  fiscalité  gestioncomptabilité fiscalité sage audit anglais français
gestionnaire de production automobile  assurances  casablanca,devis  négociation  venteassurance
assistante ressources humaines  rabat,archivage  assistanat  dossiers  formation  processus de recrutement  recrutement  secrétariat  suivi administratif
responsable administratif et financier  el jadida,comptabilité  finance  gestionqualité
juriste junior  sidi maarouf,contentieux  droitarabe français
stagiaire comptable  mohammedia,comptabilité  finance  gestion  managementcomptabilité
technicien laboratoire  taroudant,étalonnage  hygiène  maintenance  production  produit fini  qualité  smqlaboratoire français
coordinateur sav  béni mellal,crm  gestion des retours  vente
acheteur anglophone  tanger,communication  management  marketing  stratégie  venteanglais français
caissière  marrakech,comptabilité  finance  gestion  ventecomptabilité sem qualité
caissiére  marrakech,comptabilité  finance  gestion  ventecomptabilité sem qualité
chargé de portefeuille hf  marrakech,recouvrement  ventecomptabilité
cadre financier senior  casablanca,comptabilité  finance  fiscalité  gestion  gestion déquipecomptabilité fiscalité
chauffeur direction génerale  mohammedia,management
equipierère polyvalente restauration rapide  marrakech,cuisine  montage  restauration  tourisme  vente
caissierère restaurant  marrakech,cuisine  maintenance  production  qualité  tourisme
plongeur  restauration  marrakech,cuisine  entretien  hygiène  maintenance  production  qualité  sécurité  sécurité alimentaire  tourisme
assistant de direction  gestionnaire de chantier hf  casablanca,comptabilité  documents administratifs  finance  gestiongénie civil
conducteur de gros uvre hf  casablanca,génie civil
archiviste,assistanat  conservation  secrétariatfrançais
barman,accueil  tourismesem
hôtesse daccueil  hôtellerie,accueil  conseil  hôtellerie  tourismefrançais anglais
sous chef de cuisine  agadir taghazout bay,cuisine  tourismequalité
réceptionniste,accueil  communication  communication interne  communication marketing  marketing  tourisme
ingénieur génie civil senior  sidi rahal,autocad  btp  construction  gestion  infrastructure  managementautocad
techniciens électriciens et mécaniciens spécialisés en photovoltaïque  casablanca,maintenance  photovoltaïque  qualité  réparation
opérateur de machine laser  casablanca,automatisme  électromécanique  machines  maintenance  maintenance industrielle  maintenance préventive  production  qualité
chargée daccueil bilingue  rabat,accueil physique  assistanatfrançais anglais
hospitality officer  casablanca et région,qualitéanglais français
vendeur comptoir pièces de rechange  casablanca beauséjourmoulay ismail,devis  gestion des commandes  vente
formateur vacataire en techniques de négociation  fès,formationqualité
pastry chef  nouakchott,boulangerie  pâtisserie  tourismesem
responsable comptable  tit mellil,audit  comptabilité  comptabilité générale  finance  financement  gestion  gestion financière  rapprochement bancaire  suivi de la trésorerie  trésoreriecomptabilité word sage arabe français
caissier ère  casablanca,assistanat  cuisine  secrétariat  tourisme  vente
plongeur  restaurant  rabat,cuisine  entretien  hygiène  maintenance  production  qualité  sécurité  sécurité alimentaire  tourisme
équipierère polyvalent e  casablanca,cuisine  montage  restauration  tourisme  vente
chargée de recrutement  casablanca,formation  management  recrutementfrançais anglais qualité
equipierère polyvalente  rabat,cuisine  montage  restauration  tourisme  vente
caissierère  rabat,assistanat  cuisine  tourisme
animateur commercial  kénitra,vente
mécanicien de maintenance industrielle  casablanca et région,btp
ingénieur de suivi et contrôle de travaux  guelmim,génie civil français
formateur en sécurité  rabat,animation des formations  formation  pédagogie  sécurité  sécurité incendiegestion des risques
technicien detudes  rabat,dimensionnementgénie civil français
contrôleur de gestion  secteur industriel  casablanca,comptabilité  finance  gestioncontrôle de gestion
commercial motorisés  casablanca,prospection  prospection terrain  vente
responsable réseaux sociaux community manager  casablanca,communication  communication digitale  communication marketing  marketingfrançais anglais qualité
chargée dassistance téléphonique francophone  casablanca,assistance  réceptionfrançais
chargé dadministration rh junior anglophone  casablanca,formation  gestion des congésfrançais anglais
représentant commercial terrain  secteur de léducation   casablanca,techniques de vente  ventefrançais anglais word powerpoint
responsable ecommerce  casablanca,communication  marketing  marketing digital  webmarketingmarketing digital ecommerce
responsable management qualité  nouaceur,gestion  gestion de la qualité  industrie  leadership  maintenance  management  management de la qualité  normes de qualité  production  qualitéqualité iso 9001
réceptionniste de nuit  agadir,français anglais
coordinateur marketing  agadir,communication  hôtellerie  marketing  marketing digital  newsletters  publicité  seo  ventemarketing digital seo sem google analytics français anglais
chef de zone  grand casablanca,commercialisation  crm  développement commercial  prospection  prospection client  ventecrm reporting
réceptionniste spa  agadir,français anglais
ingénieur conducteur de travaux  sidi rahal,btp  gestion  leadership  managementgénie civil coordination qualité
technicien it  casablanca et région,btp
ingénieur génie civil junior  sidi rahal,btp  conception assistée par ordinateur  construction  dimensionnement  gestion  management  techniques de gestiongénie civil anglais qualité
ingénieur en génie civil  barrages et ouvrages dart  rabat,génie civil
coupeur de machines automatisées  meknès,machines  maintenance  production  qualité
chargé de portefeuille  fès  fès,recouvrement  ventecomptabilité
chargé de portefeuille  ksar el kbir,recouvrement  ventecomptabilité
chargé de portefeuille  sidi allal tazi,recouvrement  ventecomptabilité
technicien it  bouskoura,fortinet  microsoft  tcp ip  veeam  vmwaretcpip vmware planification
chaudronnier  mohammedia  ain harrouda,construction métallique
contrôleurs des documents chantier  casablanca,assistanat  btp  documentation  fichiers  rédaction  secrétariat
professeur permanent en communication  casablanca,communication  communication marketing  communication rh  enseignement  journalisme  marketing
professeur permanent en littérature  casablanca,enseignement
professeur permanent en architecture  casablanca,architecture  btp  projets btp
professeur permanent en art  casablanca,communication  communication rh  enseignement  marketing
professeur permanent en design graphique  casablanca,design
professeur permanent en communication visuelle  casablanca,communication  communication marketing  marketing
professeur permanent en marketing  casablanca,communication  communication marketing  marketing
commercial terrain chr agroalimentaire  casablanca,ventefrançais
chauffeur de direction général  casablanca,transportfrançais
acheteurse  tanger,achats  gestion logistique  négociation  transportlogistique français anglais espagnol
caviste  tanger,commercialisation  ventefrançais
technicocommerciale  secteur plomberie  casablanca,devis  vente
commerciale prescripteur senior  casablanca,négociation  ventequalité
adv junior  secteur carrelage et robinetterie  casablanca,devis  gestion des commandes  sage  ventesage
chargée juridique  casablanca,contentieux  droit  réglementationsdroit des affaires français arabe anglais qualité
responsable ressources humaines  casablanca,comptabilité  finance  formation  gestion  gestion administrative  gestion des ressources humaines  management  mobilité  projets rh  recrutement  stratégie  stratégie rhgestion des ressources humaines gestion des ressources humaines tableau
contrôleur de gestion confirmé hf  rabat,analyse financière  audit  audit interne  business plan  comptabilité  comptabilité analytique  finance  gestioncomptabilité analyse financière
chargée de marketing digital  casablanca,analyse marketing  communication  communication digitale  facebook ads  marketing  marketing digital  newsletters  référencement seo  sea  seomarketing digital campagnes publicitaires seo google analytics sem
chargé e achat  ordonnacement  casablanca,achats  comptabilité  finance  gestion  gestion des achats  livraison  négociation  pricingcomptabilité ordonnancement comptabilité
chargée daccueil  agadir,accueil physique  assistanat  organisation administrative  préparation du planning  prise de rdv  secrétariat  wordword
serveur hf  taghazout agadir,tourisme
chargé logistique  bouskoura,transporttransport
agent de facturation  casablanca et région,comptabilité  facturation  finance  gestioncomptabilité
responsable recherche et développement  tanger,du  emballage  génie industriel  génie mécanique  maintenance  procédés  procédés industriels  processus  productivité  qualitésage
revenue manager hotel  nouakchott,gestion hôtelière  tourismeanalyse de données
technicien impression  tanger,électromécanique  fabrication  fabrication mécanique  machines  maintenance  paramétrage  production  qualité
technicien de production  tanger,électromécanique  fabrication  fabrication mécanique  machines  maintenance  paramétrage  production  qualité
technicien laboratoire en mettalurgie  casablanca,fonderie  maintenance  métallurgie  optique  polissage  qualitélaboratoire reporting word
magasinier  bouskoura,groupage  transporttransport
ingénieur en logistique  casablanca,gestion logistique  stocks  transportplanification anglais
chef de rang  bouskoura,tourisme
barman  bouskoura,cuisine  tourisme
comptable confirmé  casablanca,comptabilité  comptabilité fournisseurs  comptabilité générale  états financiers  finance  gestion  opérations bancairescomptabilité sage
secrétaire  assistante polyvalente  casablanca  sidi bernoussi,achats  comptabilité  finance  gestionfrançais anglais
enseignant chercheur permanent en finance  casablanca,audit  comptabilité  enseignement  finance  gestionaudit contrôle de gestion
technicien de contrôle et suivi de travaux routes  tanger,génie civil
animateur hse  taroudant,amélioration industrielle  analyse des risques  hygiène  maintenance  management qhse  qhse  qualité  sécurité  sécurité industrielle
chimiste laborantin  casablanca,btp  chimie  chimie analytique  génie chimique  industrie  maintenance  procédés  production  qualitéchimie analytique laboratoire
magasinier  casablanca,groupage  transport
gouvernante détage  marrakech,hôtellerie  housekeeping  restauration  secteur hôtelier  tourismequalité
ingénieure detudes en génie civil  barrage  rabat,dimensionnementgénie civil français
soudeurs semiautomatique débutants  casablanca,maintenance  qualitésem
cavistegérant magasin boissons alcooliques  casablanca,gestion hôtelière  tourismefrançais
aide cavistemagasin boissons alcooliques  casablanca,gestion hôtelière  tourismegestion des stocks français
responsable commercial e  casablanca,actions commerciales  communication  marketing  négociation  prospection  stratégie commerciale  vente
assistante de direction pdg  casablanca,administration  assistanat  secrétariatarabe français anglais
technicien sertisseur en agroalimentaire  différentes villes en france,du  emballage  hygiène  machines  maintenance  maintenance curative  maintenance préventive  nonconformité  process  process de production  processus  production  productivité  qualité  sécurité alimentairesage
conducteur de machines mécanisées et automatisées,du  fabrication  hygiène  machines  maintenance  process  processus  production  productivité  qualité  transport
chargée de prescription  casablanca,architecture  btp  projets btpqualité
conducteur moulin  divers villes en france,fabrication  maintenance  production  qualitéfrançais
chef de mission en audit financier  auditeur sénior  casablanca,audit  audit comptable  audit financier  finance  gestionaudit qualité power bi comptabilité sage sap oracle
it manager  nouakchott,amadeus  linux  opera  pmslinux domotique
chef de produit  casablanca,achats  maintenance  production  qualitépowerpoint qualité
chef dequipe electromécanicien  casablanca,amélioration continue  automatisme  automatisme hydraulique  électromécanique  fluide  gestion  hydraulique  industrie  maintenance  maintenance électromécanique  maintenance industrielle  maintenance préventive  management  parc matériel  pneumatique  production  qualitéhydraulique pneumatique qualité
contrôleur qualité domaine électricité  dakhla,Non spécifié
chef de chantier en électricité  dakhla,Non spécifié
technicocommercial en chimieenvironnement  mohammedia,vente
animateur pédagogique  casablanca  anfa,éducation  santé
chef déquipe production  dar bouazza,conservation  gestion de la production  hygiène  machines  maintenance  procédés  production  productivité  qualitéqualité
coordinateur de transport  berrechid,affrètement  gestion du transport  transportlogistique transport chaîne dapprovisionnement sap
commercial produits de puériculture hf  casablanca,communication  crm  fidélisation des clients  gestion des ventes  marketing  négociation  négociation commerciale  techniques de vente  ventecrm
monteur vidéos  mohammedia,communication  marketing  montagemontage vidéo
agent administratif  casablanca,assistanat  dossiers  pack office  secrétariat  venteassurance
assistante administrative  adv  skhirat et région,achats  livraison  recouvrement  vente
technicien maintenance polyvalent  marrakech,câblage  du  électrotechnique  installation électrique  maintenance  maintenance préventive  menuiserie  plomberie  production  qualité  réparation
électromécanicien  el gara,électromécanique  hydraulique  machines  maintenance  maintenance préventive  pneumatique  processus  processus de maintenance  production  qualitépneumatique hydraulique
chef de produit pharmaceutique parapharmaceutique  casablanca,gestion  management
assistante juridique  casablanca,droit  droit commercialdroit des affaires word powerpoint qualité
ingénieur detudes et de développement informatique  casablanca,app  asp  c  dotnet  etl  java  net  sql  webservicecrm c java etl
responsables magasins  casablanca,communication  gestion  gestion déquipe  gestion des ventes  management  merchandising  service clients  vente
assistante administrative  mohammedia  chellalate,assistanat  secrétariatanglais français
assistante rh  berrechid,comptabilité  finance  formation  gestion  gestion de la formation  gestion des ressources humaines  recrutementgestion des ressources humaines
responsable du comptoir  casablanca,devis  ventefrançais arabe notion google sheets
dessinateurs autocad  zenata casablanca,autocadfrançais
chef dequipe production  casablanca,amélioration continue  maintenance  production  qualitéqualité qualité
dessinateur en construction métallique  ain harrouda,construction  construction métallique  maintenance  qualité
agents administratif gestionnaire  casablanca,comptabilité  gestionbanque
responsable commercial terrain  secteur de léducation  meknès,techniques de vente  ventefrançais anglais word powerpoint
assistante sav,achats  assistanat  gestion des commandes  processus dachats  secrétariatfrançais anglais
technicien supérieur sav  casablanca,du  laboratoire  maintenance  production  qualité
standardiste  casablanca,accueil physique  assistanat  secrétariat
technicocommercial  casablanca,actions commerciales  négociation  négociation commerciale  prospection  prospection commerciale  ventefrançais anglais
technicien detudes technicien ferroviaire  rabat,dimensionnementgénie civil français
chargée logistique  khouribga,transport
responsable pédagogique  khouribga,formation
agent de pointage  kénitra,formation  gestion administrativequalité
responsable de centre sportif  khouribga,management
magasinier centre de sport  khouribga,chargement  transport
secrétaire polyvalente en intérim  casablanca,archivage  assistanat  communication écrite  documents administratifs  dossiers  gestion des appels  gestion des documents  recouvrement  rédaction  saisie de données  secrétariat  traitement de textequalité
chargé de portefeuille hf  safi,comptabilité  finance  gestion  recouvrement  ventecomptabilité
chargée rh anglophone  casablanca,administration du personnel  formation  recrutementanglais français
responsable des opérations sites immobiliers  marrakech,transport
professeur permanent en anglais  casablanca,communication  marketinganglais
gestionnaire de sinistre grand compte  casablanca,gestion  management  venteassurance
chef de département production  mohammedia,automatisme  électromécanique  maintenance  processus  production  qualitéqualité
agent de contenu  casablanca,Non spécifié
gestionnaire sinistre,assurance  comptabilité  du  finance  formation  gestion  maintenance  production  qualitéfrançais qualité
