id,titre,site_name,date_publication,nom_entreprise,description_poste,region,ville,secteur_activite,metier,type_contrat,niveau_etudes,experience,profil_recherche,hard_skills,soft_skills,competences_recommandees,langue,salaire,teletravail
241,pastry chef nouakchott,https://www.emploi.ma/,2024-12-19,fasq hotel,nous sommes à la recherche dun pastry chef responsabilités principales  en tant que chef pâtissier  vous serez chargé de  création culinaire concevoir et développer des desserts viennoiseries et pâtisseries innovants en harmonie avec le standing 5 étoiles actualiser les menus selon les saisons et les tendances culinaires en veillant à surprendre et à satisfaire les clients gestion déquipe superviser former et motiver léquipe de pâtisserie pour garantir des standards élevés de qualité et defficacité planifier et coordonner les tâches quotidiennes pour assurer un flux de production fluide qualité et présentation maintenir les standards de présentation et de plus,agadir  béni mellalkhénifra  casablancamohammedia  dakhla,ville  nouakchott,secteur dactivité  hôtellerie restauration,métier  tourisme hôtellerie restauration,cdd,bac1,6-10 ans,profil recherché pour réussir dans ce rôle vous devez  expérience  en tant que chef pâtissier dans un établissement 5 étoiles ou restaurant gastronomique créativité  sens aigu de linnovation et passion pour les desserts raffinés leadership  capacité à motiver et à gérer une équipe multiculturelle expertise technique  excellentes compétences en pâtisserie chocolaterie boulangerie et sculpture sucrée connaissance des tendances  familiarité avec les nouvelles techniques et tendances mondiales en pâtisserie formation  diplôme en arts culinaires ou équivalent,boulangerie  pâtisserie  tourismesem,créativité innovation leadership capacité à motiver,leadership capacité à motiver et à gérer une équipe multiculturelle expertise technique  excellentes compétences en pâtisserie chocolaterie boulangerie et sculpture sucrée connaissance des tendances  familiarité avec les nouvelles techniques et tendances mondiales en pâtisserie,anglais ais,Non spécifié,0
242,responsable comptable tit mellil,https://www.emploi.ma/,2024-12-19,robelbois sa,nous sommes à la recherche dun responsable comptable missions  rattachée au directeur général vos principales missions sont comptabilité générale et analytique  définir le plan comptable et suivre sa mise en uvre veiller à lapplication du processus comptable des procédures et des normes comptables en vigueur contrôler le respect des obligations légales et réglementaires des délais de clôture comptable bilan  élaboration du bilan et du compte de résultat calcul du résultat fiscal et de limpôt sur les sociétés élaboration de la liasse fiscale et les annexes déclarations fiscales et sociales  calcul et réalisation des liasses et des plus,casablancamohammedia,ville  tit mellil,secteur dactivité  btp construction,métier  gestion comptabilité finance,cdi,bac5 et plus,6-10 ans,formation bac  5 en comptabilité et gestion financière  de 10 ans dexpériences vous êtes rigoureuxse autonome avec un grand sens de lorganisation vous savez faire preuve dinitiative et de réactivité vous maîtriser les différents aspects de la comptabilité vous savez communiquer et motiver une équipe vous êtes orientés client et le sens du service vous êtes à laise avec les outils informatiques word excel power point sage vous êtes à laise en arabe et en français,audit  comptabilité  comptabilité générale  finance  financement  gestion  gestion financière  rapprochement bancaire  suivi de la trésorerie  trésoreriecomptabilité word sage arabe français,organisation initiative,maîtriser les différents aspects de la comptabilité vous savez communiquer et motiver une équipe vous êtes orientés client et le sens du service vous êtes à laise avec les outils informatiques word excel power point sage vous êtes à laise en arabe et en français,Non spécifié,Non spécifié,0
243,caissier re casablanca,https://www.emploi.ma/,2024-12-18,caisse manager,nous sommes à la recherche des caissiersères missions accueillir les clients prendre leur commande et saisir les informations dans le système de caisse encaisser les paiements assurer une gestion précise de la monnaie et rendre la monnaie correctement sassurer que toutes les informations de la commande sont correctes et bien transmises à la cuisine ou au service vérifier que toutes commandes ont été réglées avant de laisser les clients partir gérer les paiements en fin de service  fermeture de caisse plus,casablancamohammedia,ville  casablanca,secteur dactivité  évènementiel hôtesse accueil,métier  commercial vente,cdi,bac,0-1 ans,excellentes compétences en service client vous êtes à laise avec la prise de commandes par téléphone et savez communiquer efficacement avec les clients flexibilité horaire  travail en soirée weekends et jours fériés,assistanat  cuisine  secrétariat  tourisme  vente,flexibilité,compétences en service client,Non spécifié,Non spécifié,0
244,plongeur restaurant rabat,https://www.emploi.ma/,2024-12-18,caisse manager,nous sommes à la recherche dun plongeur pour rejoindre son équipe vous serez responsable de maintenir un environnement propre et organisé en cuisine en veillant à ce que la vaisselle et les ustensiles nécessaires au service soient toujours disponibles vos missions laver et ranger toute la vaisselle les ustensiles et les équipements utilisés en cuisine maintenir la propreté des zones de cuisine y compris les éviers les plans de travail et les zones de stockage trier et éliminer les déchets de manière appropriée en respectant les normes dhygiène et de sécurité veiller à ce que les produits nécessaires à la plonge et à lentretien soient toujours disponibles et bien plus,rabatsalékénitra,ville  rabat,secteur dactivité  hôtellerie restauration,métier  métiers des services,cdi,bac,0-1 ans,expérience préalable dans un poste similaire est un plus mais non obligatoire sens de lhygiène et respect des normes de sécurité alimentaire capacité à travailler sous pression dans un environnement dynamique dynamisme rigueur et ponctualité bonne capacité dorganisation et dautonomie,cuisine  entretien  hygiène  maintenance  production  qualité  sécurité  sécurité alimentaire  tourisme,rigueur organisation autonomie,capacité à travailler sous pression dans un environnement dynamique rigueur et ponctualité organisation et dautonomie,Non spécifié,Non spécifié,0
245,quipierre polyvalent e casablanca,https://www.emploi.ma/,2024-12-18,caisse manager,nous sommes à la recherche un équipierère polyvalent e pour renforcer son équipe en tant quéquipier polyvalent vous serez amené à intervenir sur plusieurs postes afin de garantir un service rapide de qualité et une expérience client agréable nous recherchons une personne dynamique motivée et ayant un esprit déquipe vos missions accueillir les clients prendre leurs commandes aider à la préparation des repas au montage des plats et à la cuisson selon les standards  veiller à la propreté et à lhygiène du restaurant en particulier des espaces de cuisine de service et des sanitaires aider à la gestion des stocks de produits vérifier leur disponibilité et alerter plus,casablancamohammedia,ville  casablanca,secteur dactivité  évènementiel hôtesse accueil,métier  commercial vente,cdi,bac,0-1 ans,aucune expérience préalable nest exigée mais une première expérience dans la restauration serait un plus dynamisme bonne présentation et esprit déquipe sens du service client et bonne capacité à travailler sous pression disponibilité pour travailler en horaires flexibles weekends et soirées avoir une attitude positive et proactive pourquoi rejoindre  travailler dans un restaurant reconnu offrant un cadre agréable et une équipe conviviale des opportunités dévolution professionnelle au sein dune enseigne en pleine croissance,cuisine  montage  restauration  tourisme  vente,Non spécifié,capacité à travailler sous pression,Non spécifié,Non spécifié,0
246,charge de recrutement casablanca,https://www.emploi.ma/,2024-12-18,eni,période dessai  3 mois renouvelable une fois disponibilité  immédiate nous sommes à la recherche des chargéses de recrutement missions principales  analyser les besoins en recrutement et rédiger les offres demploi diffuser les annonces sur différents supports et effectuer un premier tri des candidatures organiser et conduire les entretiens téléphoniques visuels etc rédiger des comptes rendus et recommander les candidats identifier et développer de nouveaux canaux de sourcing assurer une veille continue sur le marché de lemploi gérer et mettre à jour la base de données des candidats rédiger des reportings sur lactivité de recrutement plus,casablancamohammedia,ville  casablanca,secteur dactivité  intérim recrutement,métier  management direction générale,cdi,bac5 et plus,6-10 ans,formation  bac5 en rh ou équivalent avec minimum 5 ans dexpérience compétences  maitrise des outils de sourcing techniques dentretien et tests de recrutement langues  français et anglais logiciels  maitrise des outils rh et sourcing qualités  dynamisme autonomie sens de lorganisation réactivité et capacité à travailler en équipe,formation  management  recrutementfrançais anglais qualité,autonomie organisation,compétences  maitrise des outils de sourcing techniques dentretien et tests de recrutement autonomie sens de lorganisation réactivité et capacité à travailler en équipe,Non spécifié,Non spécifié,0
247,equipierre polyvalente rabat,https://www.emploi.ma/,2024-12-18,caisse manager,nous sommes à la recherche dun équipierère polyvalente pour renforcer son équipe en tant quéquipier polyvalent vous serez amené à intervenir sur plusieurs postes afin de garantir un service rapide de qualité et une expérience client agréable nous recherchons une personne dynamique motivée et ayant un esprit déquipe vos missions accueillir les clients prendre leurs commandes aider à la préparation des repas au montage des plats et à la cuisson selon les standards  veiller à la propreté et à lhygiène du restaurant en particulier des espaces de cuisine de service et des sanitaires aider à la gestion des stocks de produits vérifier leur disponibilité et alerter sur plus,rabatsalékénitra,ville  rabat,secteur dactivité  évènementiel hôtesse accueil,métier  commercial vente,cdi,bac,0-1 ans,aucune expérience préalable nest exigée mais une première expérience dans la restauration serait un plus dynamisme bonne présentation et esprit déquipe sens du service client et bonne capacité à travailler sous pression disponibilité pour travailler en horaires flexibles weekends et soirées avoir une attitude positive et proactive pourquoi rejoindre  travailler dans un restaurant reconnu offrant un cadre agréable et une équipe conviviale des opportunités dévolution professionnelle au sein dune enseigne en pleine croissance,cuisine  montage  restauration  tourisme  vente,Non spécifié,capacité à travailler sous pression,Non spécifié,Non spécifié,0
248,caissierre rabat,https://www.emploi.ma/,2024-12-18,caisse manager,nous recherchons un e caissierère enthousiaste et accueillant e pour intégrer notre équipe lela candidat e idéal e doit faire preuve dune grande aisance relationnelle et être capable de travailler avec efficacité dans un environnement dynamique missions accueillir les clients prendre leur commande et saisir les informations dans le système de caisse encaisser les paiements assurer une gestion précise de la monnaie et rendre la monnaie correctement sassurer que toutes les informations de la commande sont correctes et bien transmises à la cuisine ou au service vérifier que toutes commandes ont été réglées avant de laisser les clients partir gérer les paiements en fin de plus,rabatsalékénitra,ville  rabat,secteur dactivité  centres dappel hotline call center,métier  métiers des services,cdi,bac,0-1 ans,excellentes compétences en service client vous êtes à laise avec la prise de commandes par téléphone et savez communiquer efficacement avec les clients flexibilité horaire  travail en soirée weekends et jours fériés,assistanat  cuisine  tourisme,flexibilité,compétences en service client,ais,Non spécifié,0
249,animateur commercial knitra,https://www.emploi.ma/,2024-12-18,tectra,pour lun de ses clients dans le secteur du tabac tectra recherche une animateurtrice commercial  à kenitra missions principales  accueillir les clés et créer une expérience conviviale en boutique mettre en avant les promotions offres spéciales ou nouveaux produits identifier les besoins des clients et proposer des produits adaptés  plus,rabatsalékénitra,ville  kénitra,secteur dactivité  papier bois caoutchouc plastique verre tabac,métier  commercial vente,intérim,bac2,0-1 ans,excellent sens du contact avoir le sens du service être capable de conseiller,vente,Non spécifié,Non spécifié,Non spécifié,Non spécifié,0
250,mcanicien de maintenance industrielle casablanca et rgion,https://www.emploi.ma/,2024-12-18,tectra,poste proposé  mécanicien industriel  casablanca pour lun de ces clients opérant dans la grande industrie tectra recrute des mécaniciens de maintenance industrielle en intérim missions  assurer la maintenance lentretien et la réparation mécanique des équipements et installations industrielles effectuer des contrôles préventifs détecter les pannes et dysfonctionnements  procéder aux réparations nécessaires plus,casablancamohammedia,ville  casablanca et région,secteur dactivité  hôtellerie restauration,métier  métiers du btp,intérim,bac2 bac3 bac4  bac5 et plus,3-5 ans,de formation bac2 technicien de maintenance industrielle 3 ans dexpériences en maintenance mécanique industrielle type de contrat  intérim,btp,Non spécifié,Non spécifié,ais,Non spécifié,0
251,ingnieur de suivi et contrle de travaux guelmim,https://www.emploi.ma/,2024-12-18,Non spécifié,nous sommes à la recherche d ingénieur de suivi et contrôle de travaux missions  assurer le contrôle et le suivi des travaux du chantier  assurer lassistance technique à la maitrise duvre et la maitrise douvrage  coordonner lexécution des travaux et assurer les réunions de chantier  rédiger les procèsverbaux et les rapports hebdomadaires concernant lavancement des travaux plus,guelmim,ville  guelmim,secteur dactivité  btp construction,métier  métiers du btp,cdi,bac5 et plus,6-10 ans,être titulaire dun bac5 dune grande école dingénieurs en génie civil  disposer dune expérience probante de minimum 7 ans dans lassistance technique le contrôle et suivi des travaux routiers idéalement dans un bureau détudes  avoir un niveau avancé en français et de bonnes compétences rédactionnelles,génie civil français,Non spécifié,compétences rédactionnelles,Non spécifié,Non spécifié,0
252,formateur en scurit rabat,https://www.emploi.ma/,2024-12-18,g4s maroc,nous recherchons pour notre propre compte un formateur en sécurité sur la ville de rabat principales missions conception et animation de formations  élaborer des programmes de formation sur les pratiques de sécurité les normes réglementaires et les procédures de gestion des risques évaluation des besoins  identifier les besoins spécifiques des clients et adapter les contenus de formation en conséquence suivi et évaluation  assurer le suivi des apprenants et évaluer lefficacité des formations dispensées mise à jour des contenus  actualiser les supports de formation en fonction des évolutions réglementaires et technologiques accompagnement des participants  offrir un soutien personnalisé plus,rabatsalékénitra,ville  rabat,secteur dactivité  nettoyage sécurité surveillance,métier  rh formation,cdi,bac2  bac3,6-10 ans,qualifications requises  minimum de 3 ans dexpérience dans un poste similaire ou en gestion déquipes de sécurité diplôme en sécurité gestion des risques ou domaine connexe les certifications en sécurité sécurité incendie ou en hse sont de véritables atouts excellentes compétences en communication et pédagogie capable de vulgariser les concepts techniques grande rigueur sens de lorganisation et esprit danalyse les candidatures présélectionnées sont soumises a un contrôle de références,animation des formations  formation  pédagogie  sécurité  sécurité incendiegestion des risques,communication rigueur organisation esprit danalyse,compétences en communication et pédagogie capable de vulgariser les concepts techniques rigueur sens de lorganisation et esprit danalyse,Non spécifié,Non spécifié,0
253,technicien detudes rabat,https://www.emploi.ma/,2024-12-18,Non spécifié,nous sommes à la recherche de techniciens détudes missions  réaliser des études de projets au sein dune équipe pluridisciplinaire  réaliser des calculs propres au dimensionnement et à la justification du projet correspondant plus,rabatsalékénitra,ville  rabat,secteur dactivité  btp construction,métier  métiers du btp,cdi,bac2 bac3 bac4  bac5 et plus,3-5 ans,être titulaire dun bac2 bts dut  en génie civil  faire preuve dune exigence technique de rigueur et dune capacité relationnelle  avoir un bon niveau en français et de bonnes compétences rédactionnelles,dimensionnementgénie civil français,rigueur relationnel,rigueur et dune capacité relationnelle  avoir un bon niveau en français et de bonnes compétences rédactionnelles,Non spécifié,Non spécifié,0
254,contrleur de gestion secteur industriel casablanca,https://www.emploi.ma/,2024-12-18,oge  groupe cahors,nous sommes à la recherche dun contrôleur de gestion  secteur industriel missions  analyser les coûts de production et les écarts par rapport au budget proposer superviser et mettre en uvre des plans daction gérer le processus de clôture mensuelle contrôler les données et préparer lanalyse de la rentabilité et de la marge calculer le coût standard des opérations de production suivi et proposition des indicateurs de performance économique suivi des coûts de revient productivité etc suivre les résultats mensuels analyser les écarts en collaboration avec les responsables et mettre en place des actions correctives plus,casablancamohammedia,ville  casablanca,secteur dactivité  electricité eau gaz nucléaire énergie,métier  gestion comptabilité finance,cdi,bac4,3-5 ans,de formation bac5 en gestion ou finance vous justifiez dau moins 4 ans dexpérience en contrôle de gestion dans un environnement industriel diplômée dune école de commerce avec une spécialisation en gestion et finance vous avez acquis une solide expérience en tant que contrôleur de gestion au sein dune entreprise structurée vous possédez un bon sens relationnel et votre autonomie rigueur et esprit danalyse sont des atouts essentiels pour réussir dans cette fonction stratégique la maîtrise dexcel et dun erp est indispensable la maitrise de loutil power bi est souhaitable,comptabilité  finance  gestioncontrôle de gestion,relationnel autonomie rigueur,expérience en contrôle de gestion dans un environnement industriel expérience en tant que contrôleur de gestion au sein dune entreprise structurée autonomie rigueur et esprit danalyse sont des atouts essentiels pour réussir dans cette fonction stratégique maîtrise dexcel et dun erp est indispensable la maitrise de loutil power b,Non spécifié,Non spécifié,0
255,commercial motoriss casablanca,https://www.emploi.ma/,2024-12-18,groupe tectra,tectra maroc recrute deux commerciaux motorisés voiture ou moto pour une mission de six mois à casablanca missions  la prospection terrain le renouvellement des contrats la fidélisation des clients plus,casablancamohammedia,ville  casablanca,secteur dactivité  services autres,métier  commercial vente,intérim,bac2,3-5 ans,bac2 expérience 1 an en tant que commercial terrain avoir en sa possession une voiture ou une moto durée de la mission 6 mois,prospection  prospection terrain  vente,Non spécifié,Non spécifié,Non spécifié,Non spécifié,0
256,responsable rseaux sociaux community manager casablanca,https://www.emploi.ma/,2024-12-18,calliope,importante structure opérant dans le domaine de lenseignement recrute un responsable réseaux sociaux community manager sur casablanca missions  opérer au sein du département communication  marketing être responsable de lensemble des outils de communication digital et réseaux sociaux de la société gérer animer mettre à jour et suivre le site web et les différentes pages sociales de la société fb google twitter linkedin plus,casablancamohammedia,ville  casablanca,secteur dactivité  édition imprimerie,métier  informatique nouvelles technologies,cdi,bac4,3-5 ans,bac4 ou plus de grande école de marketing communication  expérience minimum de 2 ans dans un poste similaire  bonne maîtrise du français bonne maitrise de langlais niveau b1 et plus  esprit danalyse et capacité de synthèse  forte qualité relationnelle rigueur et organisation sens de la responsabilité esprit dinitiative,communication  communication digitale  communication marketing  marketingfrançais anglais qualité,communication esprit danalyse synthèse relationnel rigueur organisation responsabilité initiative,communication  expérience minimum de 2 ans dans un poste similaire  bonne maîtrise du français bonne maitrise de langlais niveau b1 et plus  esprit danalyse et capacité de synthèse  forte qualité relationnelle rigueur et organisation sens de la responsabilité esprit dinitiative,anglais ais,Non spécifié,0
257,charge dassistance tlphonique francophone casablanca,https://www.emploi.ma/,2024-12-18,groupe tectra,tectra maroc recrute des chargéses dassistance téléphonique francophone pour le compte dune grande structure spécialisée dans lassistance médicale missions  la réception des appels téléphoniques louverture des dossiers dassistance médicale plus,casablancamohammedia,ville  casablanca,secteur dactivité  centres dappel hotline call center,métier  métiers des services,intérim,bac2,3-5 ans,bac2 bon niveau en français expérience dans un call center,assistance  réceptionfrançais,Non spécifié,Non spécifié,Non spécifié,Non spécifié,0
258,charg dadministration rh junior anglophone casablanca,https://www.emploi.ma/,2024-12-18,tectra casa tertiaire  recrutement,nous recherchons pour le compte dune multinationale sur casablanca un chargé dadministration ressources humaines junior anglophone  missions  gérer les temps et labsentéisme journalier absences maladie maternité accident du travail rédiger les courriers destinés au personnel réponses aux congés maternités et paternités constituer et assurer le suivi du dossier administratif du personnel  gestion des congés suivi des affiliations à la mutuelle des nouveaux collaborateurs plus,casablancamohammedia,ville  casablanca,secteur dactivité  informatique ssii internet,métier  rh formation,cdi  intérim,bac3,3-5 ans,formation bac3 en économie ressources humaines ou en gestion expérience minimum de 2 ans dans un poste similaire bonne maîtrise du français  anglais,formation  gestion des congésfrançais anglais,Non spécifié,maîtrise du français  anglais,anglais ais,Non spécifié,0
259,reprsentant commercial terrain secteur de lducation casablanca,https://www.emploi.ma/,2024-12-18,calliope,nous sommes à la recherche des représentants commercial terrain  secteur de léducation  description du poste  le représentant commercial terrain a pour mission principale de prospecter de nouveaux clients de les conseiller sur les solutions pédagogiques que nous proposons et de maintenir une relation de confiance avec eux afin de favoriser leur fidélisation il est également en charge de la promotion de nos produits et services pédagogiques auprès des établissements scolaires responsabilités  identifier et prospecter de nouveaux clients potentiels présenter et recommander des solutions pédagogiques personnalisées en fonction des besoins spécifiques des établissements scolaires développer et plus,béni mellalkhénifra  casablancamohammedia  laâyoune  marrakech,ville  casablanca,secteur dactivité  distribution vente commerce de gros,métier  commercial vente,cdi,bac3 bac4  bac5 et plus,3-5 ans,de formation bac3 en linguistique pédagogie encadrement ou formation formation complémentaire en commerce ou domaine connexe expérience significative dans le domaine de léducation ou de la formation expérience préalable en vente ou en gestion de la relation client souhaitée excellentes compétences en communication français et anglais et en présentation capacité à travailler de manière autonome et à gérer son emploi du temps sens de lécoute et aptitude à comprendre les besoins des clients connaissance des techniques de vente maîtrise des outils bureautiques word excel powerpoint permis de conduire,techniques de vente  ventefrançais anglais word powerpoint,communication écoute,compétences en communication français et anglais et en présentation capacité à travailler de manière autonome et à gérer son emploi du temps écoute et aptitude à comprendre les besoins des clients connaissance des techniques de vente maîtrise des outils bureautiques word excel powerpoint permis de conduire,anglais ais,Non spécifié,0
260,responsable ecommerce casablanca,https://www.emploi.ma/,2024-12-18,electroplanet,dans le cadre de notre développement nous recherchons une responsable ecommerce vous serez chargé de piloter la stratégie digitale et développer notre activité en ligne dédiée à une clientèle professionnelle et de gérer et doptimiser notre plateforme ecommerce en mettant en uvre des actions visant à accroître le chiffre daffaires et à fidéliser nos clients missions  élaborer et exécuter la stratégie ecommerce en cohérence avec les objectifs de lentreprise gérer et optimiser la plateforme ecommerce participer à la définition et au déploiement de la stratégie ecommerce définir les stratégies web marketing et piloter les différents leviers de webmarketing assurer la veille plus,casablancamohammedia,ville  casablanca,secteur dactivité  distribution vente commerce de gros,métier  marketing communication,cdi,bac4  bac5 et plus,3-5 ans,bac 5 en commerce marketing digital ou domaine connexe expérience justifiée dans la gestion dune plateforme ecommerce,communication  marketing  marketing digital  webmarketingmarketing digital ecommerce,Non spécifié,Non spécifié,anglais arabe ais,Non spécifié,0
261,responsable management qualit nouaceur,https://www.emploi.ma/,2024-12-18,eni,description du poste  nous recherchons pour lun de nos clients un responsable management qualité expérimenté le candidat idéal sera responsable de la mise en uvre et de la gestion du système de management de la qualité de lentreprise garantissant que tous les produits et services répondent aux normes de qualité les plus élevées responsabilités  développer mettre en uvre et maintenir le système de management de la qualité superviser les audits internes et externes analyser les données de performance et proposer des améliorations former et sensibiliser le personnel aux normes de qualité collaborer avec les départements pour résoudre les problèmes de qualité assurer la conformité aux plus,casablancamohammedia,ville  nouaceur,secteur dactivité  aéronautique navale,métier  management direction générale,cdi,bac3 bac4  bac5 et plus,6-10 ans,diplôme en gestion de la qualité ingénierie ou domaine connexe expérience de 5 ans minimum dans un poste similaire connaissance approfondie des normes iso 9001 excellentes compétences en communication et en leadership capacité à analyser et résoudre des problèmes complexes,gestion  gestion de la qualité  industrie  leadership  maintenance  management  management de la qualité  normes de qualité  production  qualitéqualité iso 9001,communication leadership,compétences en communication et en leadership capacité à analyser et résoudre des problèmes complexes,Non spécifié,Non spécifié,0
262,rceptionniste de nuit agadir,https://www.emploi.ma/,2024-12-18,tectra performance,nous cherchons une réceptionniste de nuit passionnée et professionnelle pour rejoindre notre équipe dynamique dans notre hôtel 5 étoiles situé à taghazout si vous avez une excellente présentation une attitude chaleureuse et un sens aigu du service client nous serions ravis de vous accueillir parmi nous accueillir les clients à leur arrivée et répondre à leurs demandes pendant la nuit assurer lenregistrement et le départ des clients en vérifiant les réservations et les informations personnelles gérer les demandes spéciales des clients avec professionnalisme et efficacité répondre aux appels téléphoniques et fournir des informations sur les services de lhôtel assurer la sécurité de lhôtel et plus,agadir,ville  agadir,secteur dactivité  hôtellerie restauration,métier  tourisme hôtellerie restauration,cdi,bac2,3-5 ans,expérience préalable dans un poste similaire de préférence dans un hôtel 5 étoiles maîtrise du français et de langlais la connaissance dautres langues est un atout excellente présentation et bonnes compétences en communication sens du service réactivité et capacité à travailler de manière autonome horaires de travail de nuit  disponibilité et flexibilité requises,français anglais,communication flexibilité,maîtrise du français et de langlais la connaissance dautres langues est un atout compétences en communication capacité à travailler de manière autonome,anglais ais,Non spécifié,0
263,coordinateur marketing agadir,https://www.emploi.ma/,2024-12-18,tectra performance,nous recherchons une coordinateur marketing créatifve et stratégique pour rejoindre notre équipe au sein de notre prestigieux hôtel 5 étoiles à taghazout si vous avez une passion pour le marketing lhôtellerie de luxe et un sens aigu de lanalyse et de la gestion de projets ce poste est fait pour vous  développer des stratégies marketing pour promouvoir limage de lhôtel et attirer une clientèle internationale collaborer avec les équipes commerciales et de communication pour créer des campagnes marketing efficaces publicité promotions événements réseaux sociaux etc gérer les contenus numériques de lhôtel site web réseaux sociaux newsletters etc en veillant à ce qu plus,agadir,ville  agadir,secteur dactivité  hôtellerie restauration,métier  commercial vente,cdi,bac2  bac3,0-1 ans,diplôme en marketing communication gestion ou dans un domaine similaire expérience de 2 à 3 ans dans un poste similaire idéalement dans lhôtellerie de luxe maîtrise des outils de marketing digital seo sem réseaux sociaux google analytics etc excellentes compétences en communication à lécrit et à loral créativité sens de linitiative et capacité à travailler en équipe connaissance des tendances du marché du luxe et de lhôtellerie maîtrise parfaite du français et de langlais la connaissance dautres langues est un atout,communication  hôtellerie  marketing  marketing digital  newsletters  publicité  seo  ventemarketing digital seo sem google analytics français anglais,communication communication créativité initiative,communication gestion ou dans un domaine similaire maîtrise des outils de marketing digital seo sem réseaux sociaux google analytics etc compétences en communication à lécrit et à loral capacité à travailler en équipe connaissance des tendances du marché du luxe et de lhôtellerie maîtrise parfaite du français et de langlais,anglais ais,Non spécifié,0
264,chef de zone grand casablanca,https://www.emploi.ma/,2024-12-18,dama,nous recrutons pour le compte de notre client opérant dans le secteur bancaire un chef de zone sur la région grand casablanca missions   prospecter de nouveaux clients et développer des partenariats stratégiques  promouvoir les produits et services de transfert dargent  fidéliser les clients existants et assurer un suivi régulier  suivre les objectifs de vente et analyser les résultats commerciaux  assurer une présence régulière sur le terrain pour entretenir des relations de proximité  réaliser une veille concurrentielle et proposer des actions correctives   plus,casablancamohammedia,ville  grand casablanca,secteur dactivité  banque assurance finances,métier  commercial vente,intérim,bac3  bac4,6-10 ans,formation bac34 en commerce gestion ou domaines similaires expérience de 5 ans minimum dans une fonction commerciale terrain obligatoirement dans le secteur fmcg produits de grande consommation  expérience en prévente fortement souhaitée maîtrise des outils bureautiques pack office et des logiciels crm bonnes compétences en analyse et reporting connaissance du marché local et des spécificités culturelles liées aux services financiers forte orientation résultat et capacité à négocier excellentes compétences en prospection et développement commercial leadership et capacité à motiver une équipe gestion de projets commerciaux et dobjectifs excellentes compétences de communication,commercialisation  crm  développement commercial  prospection  prospection client  ventecrm reporting,leadership capacité à motiver communication,expérience en prévente fortement souhaitée maîtrise des outils bureautiques pack office et des logiciels crm compétences en analyse et reporting culturelles liées aux services financiers capacité à négocier compétences en prospection et développement commercial leadership capacité à motiver une équipe compétences de communication,Non spécifié,Non spécifié,0
265,rceptionniste spa agadir,https://www.emploi.ma/,2024-12-18,tectra performance,nous recherchons une réceptionniste spa accueillante organisée et passionnée par le bienêtre pour rejoindre notre équipe dans notre hôtel 5 étoiles à taghazout  si vous aimez travailler dans un environnement calme et luxueux et offrir un service client de qualité ce poste est fait pour vous  responsabilités  accueillir et conseiller les clients du spa de manière professionnelle et chaleureuse gérer les réservations de soins répondre aux demandes par téléphone email ou en personne présenter les différents services produits et forfaits du spa en fonction des besoins des clients assurer lorganisation des plannings des thérapeutes et des soins en veillant à leur bon déroulement gérer les plus,agadir,ville  agadir,secteur dactivité  hôtellerie restauration,métier  tourisme hôtellerie restauration,cdi,bac bac1 bac2  bac3,0-1 ans,expérience préalable dans un poste similaire de préférence dans un spa dhôtel 5 étoiles ou dans lindustrie du bienêtre excellentes compétences en communication et sens du service client bonne présentation et professionnalisme maîtrise du français et de langlais la connaissance dautres langues est un atout passion pour le bienêtre et une bonne connaissance des soins et produits de spa sens de lorganisation et capacité à gérer plusieurs tâches simultanément,français anglais,communication organisation,compétences en communication et sens du service client maîtrise du français et de langlais la connaissance dautres langues est un atout connaissance des soins et produits de spa organisation et capacité à gérer plusieurs tâches simultanément,anglais ais,Non spécifié,0
266,ingnieur conducteur de travaux sidi rahal,https://www.emploi.ma/,2024-12-18,tectra casa bourgogne  recrutement,pour lun de ces client opérant dans le secteur du btp tectra recrute une ingénieur conducteur de travaux station de dessalement missions  superviser la construction de la station de dessalement en coordonnant les équipes et les soustraitants planifier et suivre lavancement des travaux en veillant au respect des délais et des budgets assurer la conformité des travaux avec les spécifications techniques et les réglementations en vigueur gérer les aspects de sécurité sur le chantier et veiller à la mise en place des mesures préventives réaliser des rapports réguliers sur lavancement du projet et communiquer avec les parties prenantes collaborer étroitement avec plus,casablancamohammedia,ville  sidi rahal,secteur dactivité  btp construction,métier  management direction générale,cdi,bac5 et plus,6-10 ans,diplôme dingénieur en génie civil génie des procédés ou domaine connexe expérience significative 3 ans à 5 ans dans la conduite de travaux sur des projets dinfrastructures idéalement en dessalement ou traitement des eaux solides compétences en gestion de projet et en coordination déquipe connaissance des normes environnementales et de sécurité bonnes compétences en communication et capacité à travailler en équipe qualités  bonnes capacités dorganisation et de leadership excellentes compétences en communication capacité à travailler en équipe,btp  gestion  leadership  managementgénie civil coordination qualité,communication organisation leadership,compétences en gestion de projet et en coordination déquipe connaissance des normes environnementales et de sécurité compétences en communication et capacité à travailler en équipe organisation et de leadership compétences en communication capacité à travailler en équipe,anglais ais,Non spécifié,0
