id,titre,site_name,date_publication,nom_entreprise,description_poste,region,ville,secteur_activite,metier,type_contrat,niveau_etudes,experience,profil_recherche,hard_skills,soft_skills,competences_recommandees,langue,salaire,teletravail,type_contrat_encoded,langue_encoded
383,Demand Planner  Casablanca,https://www.emploi.ma/,2024-12-07,TECTRA,LHumain est au cur de notre métier  TECTRA est aujourdhui leader du conseil en Ressources Humaines au Maroc Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume Tectra vous accompagne dans votre recherche demploi Pour lun de ses clients dans lagroalimentaire TECTRA recherche une Demand Planner  à Casablanca Missions Principales  Service  Ensure that agreed target service levels are achieved for the MSU Improve forecast accuracy and forecast bias Identify and resolve service risks Communication with Marocco and MENA distributors plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Agroalimentaire,Métier  Transport logistique,CDI,Bac5 et plus,Expérience entre 2 ans et 5 ans,Compétences Experienced with SAP APO Highly communication skills Capable of influencing others Qualités Simplicity Discipline Solidarity,TransportSAP Qualité,communication,Compétences Experienced with SAP APO Highly communication skills Capable of influencing others Qualités Simplicity Discipline Solidarity,Non spécifié,Non spécifié,0,0,3
384,Ingénieur en lectromécanique  Casablanca,https://www.emploi.ma/,2024-12-07,TECTRA,Poste proposé  Ingénieur en lectromécanique  Casablanca Pour lun de nos clients opérant dans lindustrie ferroviaire TECTRA recrute 2 jeunes lauréats Ingénieur en lectromécanique Missions principales  La maintenance des locomotives ONCF Suivi de la maintenance des locomotives  Rédiger les dossiers techniques et la documentation technique finale à destination des clients  Participer à linstallation de nouvelles machines dans une usine un atelier mécanique un chantier  etc  Contrôler et prévenir les risques de pannes  Estimer les couts de fabrication dinstallation dentretien et de maintenance de systèmes électromécaniques plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Administration publique,Métier  Production maintenance qualité,Intérim,Bac5 et plus,Débutant  2 ans et plus,Profil recherché pour le poste  Ingénieur en lectromécanique  Casablanca De formation Ingénieur lectromécanique Débutant lauréat Compétences Une grande capacité dadaptation est attendu dun électromécanicien puisque chaque machine a un système propre de fonctionnement  Une panne peut arriver à tout moment et il faut alors savoir être réactif  Méthode et rigueur sont incontournables quand on se lance dans un métier dingénieur  Suivre des procédures strictes  Mettre en place des protocoles de tests sont indispensables pour que les résultats soient rigoureux et fiables,Atelier Mécanique  lectromécanique  Fabrication  Industrie  Machines  Maintenance  Production  Qualité,rigueur,Compétences Une grande capacité dadaptation est attendu dun électromécanicien puisque chaque machine a un système propre de fonctionnement  Une panne peut arriver à tout moment et il faut alors savoir être réactif  Méthode et rigueur sont incontournables quand on se lance dans un métier dingénieur  Suivre des procédures strictes  Mettre en place des protocoles de tests sont indispensables pour que les résultats soient rigoureux et fiables,ais,Non spécifié,0,-1,-1
385,Chargé de Portefeuille HF  Casablanca,https://www.emploi.ma/,2024-12-07,FONDATION ARRAWAJ,Fondation ARRAWAJ  est un acteur économique et social majeur dans le secteur de la microfinance elle sappuie sur un capital humain fort de plus de 2000 collaborateurs réparti sur un réseau de plus de 208 agences Dans le cadre de son développement la fondation ARRAWAJ recrute des Chargés de Portefeuille HF au niveau de notre agence à Ain sebaaBernoussi  Missions  En tant que  Chargé de Portefeuille  vous aurez pour principales missions  Gérer et développer le portefeuille client Faire des prospections de nouveaux clients Mettre en avant nos produits et nos services auprès des clients potentiels plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Banque assurance finances,Métier  Commercial vente,CDI,Bac2 Bac3 Bac4  Bac5 et plus,Débutant  2 ans et plus,Titulaire dun Bac2 minimum en Comptabilité Finance Commerce ou en Gestion Jeune diplômé ou justifiant dune première expérience réussie comme commercial Dynamique doté dune aisance relationnelle avec un goût prononcé pour les challenges Bonne résistance à la pression et au stress Avoir lesprit dinitiative Bonne capacité dadaptation Habileté à créer du lien avec les clients,Comptabilité  Finance  Gestion  Recouvrement  VenteComptabilité,aisance relationnelle initiative,aisance relationnelle avec un goût prononcé pour les challenges Bonne résistance à la pression et au stress Avoir lesprit dinitiative Bonne capacité dadaptation Habileté à créer du lien avec les clients,Non spécifié,Non spécifié,0,0,3
386,Chargé de Portefeuille HF  Mohammedia,https://www.emploi.ma/,2024-12-07,FONDATION ARRAWAJ,Fondation ARRAWAJ  est un acteur économique et social majeur dans le secteur de la microfinance elle sappuie sur un capital humain fort de plus de 2000 collaborateurs réparti sur un réseau de plus de 208 agences Dans le cadre de son développement la fondation ARRAWAJ recrute des Chargés de Portefeuille HF au niveau de notre agence Mohammedia Missions  Gérer et développer le portefeuille client Faire des prospections de nouveaux clients Mettre en avant nos produits et nos services auprès des clients potentiels Accompagner et conseiller les clients Fidéliser les clients Veiller à garder un contact régulier avec les clients Gérer et suivre plus,CasablancaMohammedia,Ville  Mohammedia,Secteur dactivité  Banque assurance finances,Métier  Gestion comptabilité finance,CDI,Bac2 Bac3 Bac4  Bac5 et plus,Débutant  2 ans et plus,Titulaire dun Bac2 minimum en Comptabilité Finance Commerce ou en Gestion Jeune diplômé ou justifiant dune première expérience réussie comme commercial Dynamique doté dune aisance relationnelle avec un goût prononcé pour les challenges Bonne résistance à la pression et au stress Avoir lesprit dinitiative Bonne capacité dadaptation Habileté à créer du lien avec les clients,Comptabilité  Finance  Gestion  RecouvrementComptabilité,aisance relationnelle initiative,aisance relationnelle avec un goût prononcé pour les challenges Bonne résistance à la pression et au stress Avoir lesprit dinitiative Bonne capacité dadaptation Habileté à créer du lien avec les clients,Non spécifié,Non spécifié,0,0,3
387,Chargé de Portefeuille  Tanger,https://www.emploi.ma/,2024-12-07,FONDATION ARRAWAJ,Fondation ARRAWAJ  est un acteur économique et social majeur dans le secteur de la microfinance elle sappuie sur un capital humain fort de plus de 2000 collaborateurs réparti sur un réseau de plus de 208 agences Dans le cadre de son développement la fondation ARRAWAJ recrute des Chargés de Portefeuille HF au niveau de notre agence Tanger  Missions  Gérer et développer le portefeuille client Faire des prospections de nouveaux clients Mettre en avant nos produits et nos services auprès des clients potentiels Accompagner et conseiller les clients Fidéliser les clients Veiller à garder un contact régulier avec les clients Gérer et suivre plus,TangerTétouanAl Hoceïma,Ville  Tanger,Secteur dactivité  Banque assurance finances,Métier  Commercial vente,CDI,Bac2 Bac3 Bac4  Bac5 et plus,Débutant  2 ans et plus,Titulaire dun Bac2 minimum en Comptabilité Finance Commerce ou en Gestion Jeune diplômé ou justifiant dune première expérience réussie comme commercial Dynamique doté dune aisance relationnelle avec un goût prononcé pour les challenges Bonne résistance à la pression et au stress Avoir lesprit dinitiative Bonne capacité dadaptation Habileté à créer du lien avec les clients,Comptabilité  Finance  Gestion  Recouvrement  VenteComptabilité,aisance relationnelle initiative,aisance relationnelle avec un goût prononcé pour les challenges Bonne résistance à la pression et au stress Avoir lesprit dinitiative Bonne capacité dadaptation Habileté à créer du lien avec les clients,Non spécifié,Non spécifié,0,0,3
388,Coordinateur des Examens Anglophone  Casablanca,https://www.emploi.ma/,2024-12-07,CALLIOPE,Nous sommes à la recherche dun Coordinateur des Examens Anglophone Le Coordinateur des examens participe à la gestion et lorganisation des examens dans le respect des normes et des procédures établies Missions principales  Accompagner léquipe dans la préparation et le déroulement des tests Suivre et respecter les procédures de gestion et organisation des examens Assurer le suivi de réception des résultats et le dispatche aux candidats plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  ducation formation,Métier  Gestion comptabilité finance,CDI,Bac2  Bac3,Expérience entre 2 ans et 5 ans et plus,De formation Bac 2 en études anglaises Minimum 3 ans dexpérience en gestion administrative de préférence dans un environnement éducatif Maitrise courante de langlais Permis de conduire OBLIGATOIRE,Assistanat  Comptabilité  Finance  Gestion  Gestion Administrative  Réception  Secrétariatanglais,Non spécifié,expérience en gestion administrative de préférence dans un environnement éducatif Maitrise courante de langlais Permis de conduire OBLIGATOIRE,anglais,Non spécifié,0,0,1
389,Ingénieur Génie Industriel  Casablanca,https://www.emploi.ma/,2024-12-07,TECTRA,Poste proposé  Ingénieur Génie Industriel  Casablanca Nous sommes à la recherche dun Ingénieur Génie Industriel Missions principales Contribue à loptimisation de la performance de lorganisation industrielle  Optimise et valide des process de production  Coordonne les opérations de révision des locomotives  Assister et gérer le système de performance  plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Hôtellerie restauration,Métier  Production maintenance qualité,Intérim,Bac5 et plus,Expérience entre 2 ans et 5 ans et plus,Profil recherché pour le poste  Ingénieur Génie Industriel  Casablanca De formation ingénieur génie industriel Expérience 1 an à 2 ans Pilote un projet Maîtrise les méthodes dorganisation du travail Maîtrise les outils bureautiques Type de contrat Intérim Lieu de travail Casablanca,Génie Industriel  Maintenance  Process  Process de Production  Production  Qualité,organisation,Maîtrise les méthodes dorganisation du travail Maîtrise les outils bureautiques Type de contrat Intérim Lieu de travail Casablanca,ais,Non spécifié,0,-1,-1
390,Opérateur Logistique  Safi,https://www.emploi.ma/,2024-12-07,Non spécifié,Nous recrutons un Opérateur Logistique pour notre site à Safi Missions  Traiter les commandes clients Enregistrer et traiter les dysfonctionnements et les réclamations logistiques Mettre en place des actions correctives Développer des relations à long terme avec des prestataires de transports privilégiés Respecter les règles et le standard sécurité de transport et logistique Mettre à jour la cartographe des points noirs des trajets Respecter la charge utile des camions plus,MarrakechSafi,Ville  Safi,Secteur dactivité  BTP construction,Métier  Transport logistique,CDI,Bac2  Bac3,Expérience entre 2 ans et 5 ans,Formation dans la logistique Expérience de 3 ans dans un poste similaire maitrise du pack office Bonne communication esprit déquipe et orientation client,Transportlogistique,communication esprit déquipe orientation client,communication esprit déquipe et orientation client,Non spécifié,Non spécifié,0,0,3
391,Engineering Technician  Meknès,https://www.emploi.ma/,2024-12-07,LEAR CORPORATION MEKNES,Nous recherchons des Techniciens Ingénierie HF pour rejoindre notre équipe Missions  En tant que Technicien Ingénierie vous allez participer à la conception de nouveaux produits et systèmes en collaboration avec les ingénieurs ainsi que réaliser des prototypes et des essais pour valider les concepts Vos missions incluront la mise en uvre des différents projets la gestion de la documentation technique et lanalyse et résolution de problèmes plus,Meknès,Ville  Meknès,Secteur dactivité  Automobile matériels de transport réparation,Métier  Production maintenance qualité,CDI,Bac2  Bac3,Débutant  2 ans  Expérience entre 2 ans et 5 ans,De formation Bac2 Diplôme Technique Méthode  Process Ayant minimum 1 an dexpérience en tant que Technicien ingénierie Méthode  Process dans le câblage automobile Une expérience en développement de projet est un plus Esprit déquipe et bonnes qualités relationnelles Prière aux personnes dont le profil ne répond pas aux exigences du poste de sabstenir,Câblage  Maintenance  Process  Production  Qualitéqualité,Esprit déquipe qualités relationnelles,expérience en tant que Technicien ingénierie Méthode  Process dans le câblage automobile Une expérience en développement de projet est un plus Esprit déquipe et bonnes qualités relationnelles,Non spécifié,Non spécifié,0,0,3
392,Responsable Sécurité IT Junior,https://www.emploi.ma/,2024-12-06,TECTRA CASA TERTIAIRE  RECRUTEMENT,Nous sommes à la recherche dun Responsable Sécurité IT Junior Activités principales  Intégrer la sécurité dans les projets Réaliser lassistance à maîtrise douvrage et maîtrise duvre sur des projets de sécurité Participer à la mise en place des Systèmes de Management de la Sécurité de lInformation Mettre en uvre la gouvernance de la sécurité élaboration de tableau de bord de plan de sensibilisation rédaction de politiques de sécurité par domaine Contrôler les risques contrôles cartographies analyses de risques Prendre en charge la sécurité des données sensibles traitement stockage transfert Réaliser les audits fonctionnels et organisationnels Piloter les plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Banque assurance finances,Métier  Informatique nouvelles technologies,CDI,Bac5 et plus,Expérience entre 2 ans et 5 ans,Issu dune formation Bac 5 décole dingénieur ou équivalent idéalement en sécurité avec minimum 2 ans dexpérience dans un poste similaire Disponible immédiatement,Non spécifié,Non spécifié,Non spécifié,ais,Non spécifié,0,0,-1
393,Responsable DAgence Commercial  Casablanca,https://www.emploi.ma/,2024-12-06,DAMA,Nous recherchons pour le compte de notre client un acteur majeur dans son secteur dactivité un Responsable dAgence Commercial basé à Tanger Ce poste stratégique est essentiel pour assurer à la fois la gestion efficace de lagence et le développement commercial auprès dentreprises du secteur du transport international et dautres prospects liés à cette activité En tant que Responsable dAgence Commercial vous jouerez un rôle clé en combinant leadership managérial et expertise commerciale afin de contribuer activement à la croissance et à la réussite de lentreprise Missions principales  Gestion de lagence  Superviser les opérations quotidiennes de l plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Industrie production fabrication autres,Métier  Commercial vente,CDI,Bac3 Bac4  Bac5 et plus,Expérience entre 5 ans et 10 ans,Vous justifiez dune expérience confirmée au moins 5 ans dans un poste similaire avec une expertise en gestion et prospection commerciale Idéalement vous êtes issue du secteur des poids lourds ou dune activité connexe Vous êtes reconnue pour vos compétences en leadership votre sens relationnel et votre capacité à atteindre des objectifs ambitieux Une bonne connaissance du marché local à Tanger et des secteurs de transport international serait un atout,Comptabilité  Développement Commercial  Finance  Gestion  Prospection  Prospection Commerciale  Ventetransport,leadership relationnel,expertise en gestion et prospection commerciale compétences en leadership votre sens relationnel et votre capacité à atteindre des objectifs ambitieux,ais,Non spécifié,0,0,-1
394,Chargé de Clientèle  Casablanca,https://www.emploi.ma/,2024-12-06,TECTRA,LHumain est au cur de notre métier  TECTRA est aujourdhui leader du conseil en Ressources Humaines au Maroc Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume Tectra vous accompagne dans votre recherche demploi Pour lun de ses clients dans le secteur bancaire TECTRA recherche une Chargé de Clientèle  à Casablanca Missions Principales  Assurer le conseil la promotion et la vente des produits financiers plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Banque assurance finances,Métier  Gestion comptabilité finance,CDI,Bac5 et plus,Débutant  2 ans,Compétences Bonne communication en français Technique de négociation Maitrise du droit fiscal Qualités Sens des responsabilités Capacités dadaptation,Comptabilité  Droit Fiscal  Gestion  Produits Financiersfrançais Qualité,communication négociation Sens des responsabilités,Compétences Bonne communication en français Technique de négociation Maitrise du droit fiscal Qualités Sens des responsabilités Capacités dadaptation,ais,Non spécifié,0,0,-1
395,Chargé de Réclamation Client  Casablanca,https://www.emploi.ma/,2024-12-06,TECTRA,LHumain est au cur de notre métier  TECTRA est aujourdhui leader du conseil en Ressources Humaines au Maroc Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume Tectra vous accompagne dans votre recherche demploi Pour lun de ses clients dans le secteur bancaire TECTRA recherche une Chargé de Réclamation Client  à Casablanca Missions Principales  Traitement en ligne des réclamations clients plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Banque assurance finances,Métier  Gestion comptabilité finance,CDI,Bac3,Débutant  2 ans,Exigences du poste Forte communication en français BAC3 Qualités Sens des responsabilités Capacités dadaptation,Comptabilité  Gestionfrançais Qualité,communication Sens des responsabilités,communication en français BAC3 Qualités Sens des responsabilités Capacités dadaptation,ais,Non spécifié,0,0,-1
396,Technicien des Imprimantes  Casablanca,https://www.emploi.ma/,2024-12-06,TECTRA,LHumain est au cur de notre métier  TECTRA est aujourdhui leader du conseil en Ressources Humaines au Maroc Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume Tectra vous accompagne dans votre recherche demploi Pour lun de ses clients dans la commercialisation des imprimantes TECTRA recherche une Technicien des Imprimantes  à Casablanca Missions Principales  Effectue le dépannage lentretien et linstallation déquipements ou de parcs déquipements informatiques ou bureautiques matériels logiciels réseaux  selon les règles de sécurité et la réglementation Conseiller former et plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Distribution vente commerce de gros,Métier  Informatique nouvelles technologies,CDI,Bac2,Expérience entre 2 ans et 5 ans,Compétences Gestion de parc informatique Interprétation de données de tests électroniques Langages de programmation informatique Qualités Sens des responsabilités Capacités dadaptation tre à lécoute,Qualité,Sens des responsabilités écoute,Compétences Gestion de parc informatique Interprétation de données de tests électroniques Langages de programmation informatique Qualités Sens des responsabilités Capacités dadaptation tre à lécoute,Non spécifié,Non spécifié,0,0,3
397,Technicien des Imprimantes  Marrakech,https://www.emploi.ma/,2024-12-06,TECTRA,LHumain est au cur de notre métier  TECTRA est aujourdhui leader du conseil en Ressources Humaines au Maroc Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume Tectra vous accompagne dans votre recherche demploi Pour lun de ses clients dans la commercialisation des imprimantes TECTRA recherche des Techniciens des Imprimantes  à Casablanca Missions Principales  Effectue le dépannage lentretien et linstallation déquipements ou de parcs déquipements informatiques ou bureautiques matériels logiciels réseaux  selon les règles de sécurité et la réglementation Conseiller former et plus,MarrakechSafi,Ville  Marrakech,Secteur dactivité  Distribution vente commerce de gros,Métier  Informatique nouvelles technologies,CDI,Bac2,Expérience entre 2 ans et 5 ans,Compétences Gestion de parc informatique Interprétation de données de tests électroniques Langages de programmation informatique Qualités Sens des responsabilités Capacités dadaptation tre à lécoute,Qualité,Sens des responsabilités écoute,Compétences Gestion de parc informatique Interprétation de données de tests électroniques Langages de programmation informatique Qualités Sens des responsabilités Capacités dadaptation tre à lécoute,ais,Non spécifié,0,0,-1
398,Contrôleur Qualité  Casablanca,https://www.emploi.ma/,2024-12-06,ENI,Description du poste  Nous recherchons un Contrôleur Qualité expérimenté pour rejoindre notre équipe dans le secteur de la métallurgie Le candidat idéal aura une solide expérience en contrôle qualité une connaissance approfondie des processus métallurgiques et une attention méticuleuse aux détails plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Industrie production fabrication autres,Métier  Production maintenance qualité,Intérim,Bac2 Bac3 Bac4  Bac5 et plus,Expérience entre 2 ans et 5 ans et plus,Minimum de 3 ans dexpérience en contrôle qualité dans le secteur de la métallurgie Connaissance des normes de qualité et des techniques dinspection Capacité à lire et interpréter des plans techniques et des spécifications Excellentes compétences en communication et en résolution de problèmes,Maintenance  Métallurgie  Normes de Qualité  Processus  Qualitéqualité,communication résolution de problèmes,expérience en contrôle qualité dans le secteur de la métallurgie Connaissance des normes de qualité et des techniques dinspection Capacité à lire et interpréter des plans techniques et des spécifications compétences en communication et en résolution de problèmes,Non spécifié,Non spécifié,0,-1,3
399,Ingénieure dtudes  Ingénieur Ferroviaire  Maroc,https://www.emploi.ma/,2024-12-06,Non spécifié,Nous sommes à la recherche dun Ingénieure dtudes  Ingénieur Ferroviaire Missions  Réaliser des études de projets au sein dune équipe pluridisciplinaire  Réaliser des calculs propres au dimensionnement et à la justification du projet correspondant  Participer aux réunions avec les clients et les parties prenantes plus,Agadir  Béni MellalKhénifra  CasablancaMohammedia  Dakhla,Ville  Maroc,Secteur dactivité  BTP construction,Métier  Métiers du BTP,CDI,Bac5 et plus,Expérience entre 5 ans et 10 ans  Expérience  10 ans,tre titulaire dun Bac5 de formation Ingénieur en Génie Civil lauréate dune grande école dingénieurs  Disposer dune expérience probante de minimum 5 ans dans létude  Faire preuve dune exigence technique de rigueur et dune capacité relationnelle  Avoir un très bon niveau en français et de bonnes compétences rédactionnelles,DimensionnementGénie Civil français,rigueur relationnel,rigueur et dune capacité relationnelle  Avoir un très bon niveau en français et de bonnes compétences rédactionnelles,Non spécifié,Non spécifié,0,0,3
400,Technicien SAV  Mohammedia,https://www.emploi.ma/,2024-12-06,TECTRA,TECTRA recrute pour le compte de son client un Technicien SAV sur Mohammedia plus,CasablancaMohammedia,Ville  Mohammedia,Secteur dactivité  Immobilier architecture urbanisme,Métier  Commercial vente,Intérim,Bac2,Expérience entre 2 ans et 5 ans,Profil recherché  Diplôme  Bac2 Expérience  3 ans dexpérience dans la gestion des travaux de finition de chantier Contrat  intérim  avantages sociaux,BTP  Vente,Non spécifié,Non spécifié,Non spécifié,Non spécifié,0,-1,3
401,Cariste  Rabat,https://www.emploi.ma/,2024-12-05,TECTRA RABAT  KENITRA,On recrute pour lun de nos client un Cariste titulaire des CACES pour chariot élévateur pour mission de déchargement et chargement des marchandises plus,RabatSaléKénitra,Ville  Rabat,Secteur dactivité  BTP construction,Métier  Transport logistique,Intérim,Bac Bac1 Bac2 Bac3 Bac4  Bac5 et plus,Expérience entre 2 ans et 5 ans et plus,Bac Formation en CACES Expérience dans un poste similaire est obligatoire,Chargement  Déchargement  Transport,Non spécifié,Non spécifié,ais,Non spécifié,0,-1,-1
402,Responsable de Production et Qualité  Casablanca,https://www.emploi.ma/,2024-12-05,TECTRA,LHumain est au cur de notre métier  TECTRA est aujourdhui leader du conseil en Ressources Humaines au Maroc Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume Tectra vous accompagne dans votre recherche demploi Pour lun de ses clients dans le secteur dindustrie et production  TECTRA recherche une R esponsable de Production et Qualité  à Casablanca Missions Principales  Planification et gestion des opérations de production Coordination des équipes en atelier fabrication conditionnement étiquetage Suivi des stocks de matières premières et produits finis Mise en place et contrôle plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Chimie pétrochimie matières premières mines,Métier  Production maintenance qualité,CDI,Bac3,Débutant  2 ans  Expérience entre 2 ans et 5 ans,Diplôme en chimie génie industriel ou management de la qualité Bac3 ou plus Expérience significative en production ou qualité idéalement dans le secteur des parfums ou cosmétiques Compétences  Connaissance des normes ISO Connaissance dans lindustrie Qualités  Leadership Capacités dadaptation Rigueur,Bonnes Pratiques de Fabrication  tiquetage  Fabrication  Génie Industriel  Industrie  Maintenance  Management de la Qualité  Normes de Qualité  Processus  Production  Qualitéqualité Qualité,Leadership Rigueur,Compétences  Connaissance des normes ISO Connaissance dans lindustrie Leadership,Non spécifié,Non spécifié,0,0,3
403,Assistante Administrative  Bouskoura,https://www.emploi.ma/,2024-12-05,GROUPE TECTRA,TECTRA MAROC recrute une Assistante Administrative à Bouskoura Les missions principales sont La gestion du standard Lassistanat du directeur Laccueil des visiteurs Létablissement des plannings plus,CasablancaMohammedia,Ville  Bouskoura,Secteur dactivité  Sport action culturelle et sociale,Métier  Secrétariat assistanat,Intérim,Bac3,Expérience entre 2 ans et 5 ans,Bac23 expérience de plus de 2 ans dans le même poste La personne doit être motorisée,Assistanat  Secrétariat,Non spécifié,Non spécifié,Non spécifié,Non spécifié,0,-1,3
404,Chargée de Recrutement  Ain Sebaa,https://www.emploi.ma/,2024-12-05,BRICOMA,Nous recrutons un Chargée de Recrutement  Rattachée au Responsable Développement Ressources Humaines Missions  Participer dans le processus de renfort des effectifs à travers le recrutement et lintégration des stagiaires et du personnel selon la procédure de recrutement en vigueur Assister aux formus décolesUniversités Rédiger et diffuser les annonces de recrutement sélectionner les cvs réaliser des entretiens à distante ou en présentiel Préparer les dossier administratifs des nouvelles recrues préparer les contrats ANAPECCDDCDI organiser intégration des nouvelles recrues Participer dans des missions de recrutements de masse dans le cadre des ouvertures des nouveaux magasins plus,CasablancaMohammedia,Ville  Ain Sebaa,Secteur dactivité  Distribution vente commerce de gros,Métier  RH formation,CDI  CDD,Bac2  Bac3,Débutant  2 ans  Expérience entre 2 ans et 5 ans,Qualifications  Formation Bac23 en Management des Ressources Humaines ou Gestion dEntreprise Une première expérience similaire de 2 ans minimum Bonne connaissances dans la législation du travail Bonne maîtrise de la langue française à lécrit et à loral Maîtrise des outils informatiques Bon relationnel Bonne initiative et anticipation Très bonne organisation,Embauche  Formation  Organisation RH  Recrutementfrançais,relationnel initiative organisation,connaissances dans la législation du travail maîtrise de la langue française à lécrit et à loral Maîtrise des outils informatiques Bon relationnel Bonne initiative et anticipation Très bonne organisation,Non spécifié,Non spécifié,0,-1,3
405,Chargé Import Export  Had Soualem,https://www.emploi.ma/,2024-12-05,TECTRA,Nous sommes à la recherche dun Chargé ImportExport Missions  Faire réaliser des études de marchés et prospecter des clients potentiels  Proposer et assurer les opérations commerciales et de promotion des produits en tant quambassadeur de limage de son entreprise a létranger Animer  organiser et coordonner la force de vente et ses activités veiller au recouvrement  Négocier avec les clients les plus importants et les groupements dachats  Mettre en place les référencements des centrales  Analyser les résultats commerciaux et proposer des actions pour les améliorer plus,CasablancaMohammedia,Ville  Had Soualem,Secteur dactivité  BTP construction,Métier  Transport logistique,Intérim,Bac3 Bac4  Bac5 et plus,Expérience entre 2 ans et 5 ans et plus,Profil recherché pour le poste  Chargé Import Export  Casablanca Un profil au niveau de notre exploitation import un agent de production qui aura pour principales missions le traitement des dossiers administratifs création des dossiers transmissions des correspondances aux clients facturation classement et archivage Critères de lannonce pour le poste  Chargé Import Export  Casablanca Métier  Management direction générale Secteur dactivité  Transports logistique services postaux Type de contrat  Intérim Région  HAD SOUALEM Ville  HAD SOUALEM Niveau dexpérience  Expérience entre 2 ans et 5 ans Niveau détudes  Bac3,Export  Importsem archivage Transport logistique,Non spécifié,Expérience entre 2 ans et 5 ans Niveau détudes  Bac3,ais,Non spécifié,0,-1,-1
406,Surveillant Internat  Bouskoura,https://www.emploi.ma/,2024-12-05,GROUPE TECTRA,TECTRA MAROC recrute un Surveillant Internat à Bouskoura Les missions principales sont Laccueil des élèves Lencadrement des élèves lors des repas La surveillance de la nuit plus,CasablancaMohammedia,Ville  Bouskoura,Secteur dactivité  Transports logistique services postaux,Métier  Production maintenance qualité,Intérim,Bac2,Expérience entre 2 ans et 5 ans,Bac et plus expérience 1 an dans le même poste Le transport nest pas assuré,Maintenance  Production  Qualitétransport,Non spécifié,Non spécifié,Non spécifié,Non spécifié,0,-1,3
407,Technicien Qualité  Casablanca,https://www.emploi.ma/,2024-12-05,TECTRA AGENCE AIN SBAA,Pour lun de ses clients dans le secteur automobile TECTRA recherche une Technicien Qualité à Casablanca Missions Principales  Connaissances Cpk MSA Connaissance RR MSA Connaissances IATF 1694914001 Connaissances des méthodes de résolutions de problème QRQC 8D ISHIKAWA Connaissances en métrologie 17025 Connaissances en MSP SPC Analyse de risques Sécurisation client Gestion MURQUALITE Validation ProduitProcess plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  Automobile matériels de transport réparation,Métier  Production maintenance qualité,CDI  Intérim,Bac2,Expérience entre 2 ans et 5 ans,Compétences  Apporte un appui technique aux collaborateurs Contrôle la conformité de fabrication de produits pièces sous ensembles tablit les documents de contrôle de conformité de traçabilité et de suivi qualité Qualités  Bon esprit danalyse Rigueur Méthodologie Bonnes capacités relationnelles et rédactionnelles,Fabrication  IATF 16949  Ishikawa  Maintenance  Métrologie  Process  Production  QRQC  Qualitéconformité sem qualité Qualité,esprit danalyse Rigueur relationnel,Compétences  Apporte un appui technique aux collaborateurs Contrôle la conformité de fabrication de produits pièces sous ensembles tablit les documents de contrôle de conformité de traçabilité et de suivi qualité analyse Rigueur Méthodologie Bonnes capacités relationnelles et rédactionnelles,Non spécifié,Non spécifié,0,-1,3
408,English Speaking Administrator  Agadir,https://www.emploi.ma/,2024-12-05,Non spécifié,We are a company that is involved in the export businessLooking for a super star English Speaking Administrator that is structured SHARP and ORGANIZED We are in search of a dynamic individual that thinks outside of the box and is willing to give this position their all plus,Agadir,Ville  Agadir,Secteur dactivité  Agroalimentaire,Métier  Commercial vente,CDI  CDD,Bac2 Bac3 Bac4  Bac5 et plus,Expérience entre 5 ans et 10 ans  Expérience  10 ans,The successful candidate must speak fluent English French and Arabic We are looking for a special someone If you feel that it is you dont hesitate to reach out,Comptabilité  Finance  Gestion,Non spécifié,Non spécifié,anglais arabe ais,Non spécifié,0,-1,-1
409,HR Manager Anglophone,https://www.emploi.ma/,2024-12-04,TECTRA CASA TERTIAIRE  RECRUTEMENT,Nous recherchons pour une grande multinationale un HR Manager Anglophone  plus,CasablancaMohammedia,Ville  Casablanca,Secteur dactivité  BTP construction,Métier  Management direction générale,CDI,Bac5 et plus,Expérience entre 5 ans et 10 ans,Ayant une expérience minimum de 5 ans ans un poste similaire Poste basé  Casablanca Parfaite maitrise de la langue anglaise Disponibilité immédiate,Managementanglais,Non spécifié,Non spécifié,Non spécifié,Non spécifié,0,0,3
